大美洲鸵,Greater Rhea,Rhea americana,南美洲最大（127-140厘米）的鸟类;;⚑唯一相似种小美洲鸵稍小，羽毛呈棕色带白色斑点；而大美洲鸵羽毛无斑点，整体呈灰色，颈跟处通常为黑色;;与小美洲鸵在分布上几乎没有重叠;
小美洲鸵,Lesser Rhea,Rhea pennata,两种美洲鸵之一，体型较小（92.5-100厘米）;;行动迅速，时速超过60迈;;⚑羽毛棕色，上部有白色尖端;;栖息于高海拔草原和灌丛草原;
南山䳍,Patagonian Tinamou,Tinamotis ingoufi,大型（39-42.5厘米）具隐蔽性斑纹的䳍;;⚑头部有条纹（无羽冠）且上体有斑点，与同分布的凤头䳍明显不同;;⚑相比飞行，更善于奔跑，飞行时可见鲜亮的锈色翅;;生活在巴塔哥尼亚草原上有灌木丛和低矮灌木的区域；与其他生活在开阔栖息地的䳍类似，常以三只一组或家庭群体的形式活动（雄性负责照料幼鸟）;;其响亮、萦绕耳畔的哨声传播效果良好，但声音很容易被风吹散;,巴塔哥尼亚特有
北山䳍,Puna Tinamou,Tinamotis pentlandii,大型（36厘米）具隐蔽性斑纹的䳍;;身体极为沉重，善于奔跑，极少飞行;;⚑头部的条纹和暗锈色的腹部是其鉴别特征;;栖息在安第斯山脉高海拔地区的普纳草原和沼泽地带；通常以三只一组或家庭群体的形式活动（雄性负责照料幼鸟）；在未遭捕猎的地区较为常见，但大多惧怕人类;;其响亮、尖锐且欢快的鸣叫声能在高原稀薄的空气中传播很远;
凤头䳍,Elegant Crested Tinamou,Eudromia elegans,独特且引人注目的䳍（39厘米）;;⚑似棕凤头䳍，但分布不重叠;;几乎仅分布于阿根廷，从北巴塔哥尼亚地区至蒙特沙漠区域；偏好开阔多岩石的栖息地;;常通过其由三音节的哨声被发现：“twee - tyoo - too”，与红翅䳍的叫声类似，但没那么有力，音高更稳定;,阿根廷近特有
棕凤头䳍,Quebracho Crested Tinamou,Eudromia formosa,引人注目的䳍（37.5-41厘米）;;⚑极似凤头䳍，但分布范围不重叠;;生活在查科沙漠北部及灌丛地带；偏好茂密的灌丛及林下植被，不过在开阔地和路边也能见到;;叫声独特，与凤头䳍截然不同：先是两声音高平稳、结尾陡然升高的哨声：“Tooooo - wee! Tooo - wee!”;
侏䳍,Dwarf Tinamou,Taoniscus nanus,小型（14.5-16厘米）生性腼腆且体态丰满的䳍;;腿短，上体呈锈褐色且斑驳，喉、腹部中央为白色，胸部和胁部有条纹;;栖息于保存完好但日益稀少的湿润稀树草原，这里长有短草和稀疏的灌木丛；常藏在犰狳洞穴中，极难见到;;鸣唱以几声简短的鼻音开始，很容易被误认成昆虫的声音，结尾是一段颤音;,巴西近特有
白腹拟䳍,White-bellied Nothura,Nothura boraquira,26-28.5厘米;
达尔文拟䳍,Darwin's Nothura,Nothura darwinii,25-27厘米;
斑拟䳍,Spotted Nothura,Nothura maculosa,小型（23厘米）沙色䳍;;下体大多为黄色，背和头部羽毛颜色深浅相间，形成隐蔽的图案;;主要见于天然草原、热带稀树草原以及耕地，在局部地区数量较多，但难以发现;;鸣唱为重复的“Tchip; tchip; tchip; tchip”，或类似昆虫的“triiiiiiiiiiiiiiiiiiiiiii”颤音;
小拟䳍,Lesser Nothura,Nothura minor,小型（18-19.5厘米）沙色䳍;;背部杂有锈色与深色斑点，腹部呈白色;;栖息于天然及人为改造的草原，因性情隐匿且羽衣具备保护色，很难被发现;;鸣唱为尖锐而纤细的“peeea”声;,巴西近特有
哨音红翅䳍,Huayco Tinamou,Rhynchotus maculicollis,39-42厘米;
红翅䳍,Red-winged Tinamou,Rhynchotus rufescens,独特的䳍（39-42.5厘米）;;身体密布条纹，颈部呈橘色，深褐色的冠羽可以竖起;;⚑极少飞行，飞行距离短且动作笨拙，翅呈独特的锈色;;栖息于湿润草原、热带稀树草原及牧场，因遭到大量捕猎，生性非常胆小;;鸣唱为音调渐降且重复的“tchirip; ju ju ju”，一整天都能听到;
灰斑䳍,Brushland Tinamou,Nothoprocta cinerascens,中型（32厘米）短颈的䳍;;⚑似白腹拟䳍，但有着灰色的腿和略带褐色的腹部;;分布于南美洲的查科地区；倾向于选择长有茂密草丛的多刺森林，或林下植被为灌丛的环境，但也能在路边见到;;多数时候是通过其叫声被发现；鸣唱是一段由5-8个部分组成的平调哨音，发出时强调的程度逐渐增强;,阿根廷近特有
弯嘴斑䳍,Curve-billed Tinamou,Nothoprocta curvirostris,26-29.5厘米;
丽色斑䳍,Ornate Tinamou,Nothoprocta ornata,形似鸡的鸟类（35厘米）;;羽色灰褐相间，头、背和翅上有细密条纹;;⚑留意其小巧且略下弯的喙，这有助于将其与喙更长的安第斯斑䳍区分;;见于安第斯山脉高海拔的多岩灌丛和草原地区;;受到惊扰时，会快速发出高亢的 “叽叽！” 声。;
安第斯斑䳍,Andean Tinamou,Nothoprocta pentlandii,棕褐色斑纹繁复的䳍（25-30厘米）;;⚑喙下弯，似弯嘴斑䳍，但要注意其整体的褐色调偏冷，下体斑纹略少;;⚑似凤头䳍，但体型更小，喙更大;;栖息于山地灌丛和草原，包括森林边缘地带；常常在人们毫无察觉时，突然从脚下惊飞;;聆听其简单的鸣叫，是一种高亢、尖锐且声调上扬的哨音：tuEEE！”;
智利斑䳍,Chilean Tinamou,Nothoprocta perdicaria,羽毛具隐蔽色似鸡的鸟（29-30厘米）;;栖息于智利中部的马托拉尔灌丛地、开阔灌丛及农田；通常单独或小群活动，一天中早晚时分最常在路边见到;;一般情况下会跑开，但受到惊扰时，会从脚下突然惊飞，并发出尖厉的哨声;;鸣唱是一种短促、突兀的哨音，发出时间不规则，难以追踪;,智利特有
高山斑䳍,Taczanowski's Tinamou,Nothoprocta taczanowskii,32.5-36厘米;,秘鲁特有
黑头林䳍,Highland Tinamou,Nothocercus bonapartei,矮胖（36-41厘米）的陆生鸟;;⚑最似大䳍，两者都有灰色的腿，但前者通常出现在较高的海拔；此外，黑头林䳍具暖棕褐色的下体，背部具小黄褐色斑点，头部更灰;;生活在山地森林的地面上，偏爱茂密的次生植被，因此难以看到；最常见其沿着小径逃跑;;叫声为一系列重复的鼻音;
红头林䳍,Tawny-breasted Tinamou,Nothocercus julius,35.5-38厘米;
灰头白喉林䳍,Hooded Tinamou,Nothocercus nigrocapillus,32-35厘米;
白喉䳍,White-throated Tinamou,Tinamus guttatus,中型（32-36厘米）䳍;;体态圆胖，看似无尾;;⚑似较大的大䳍，注意翅上独特的淡色斑点，以及白色的喉和下腹;;分布于亚马逊低地森林，偶尔也进入丘陵地区，喜在森林地面行走;;留意其悠扬的鸣唱：两音节的低沉hoot声，第二个音符升高;
大䳍,Great Tinamou,Tinamus major,潮湿热带低地的大型（40-46厘米）䳍;;整体羽色相当朴素，上体暖棕色具黑色横斑，下体灰色;;⚑注意其灰色而非红色的腿，腿上覆盖黑色横斑;;受惊时优先选择奔跑，但也可能被惊飞并爆发出爆炸性地“呼呼”扇翅声;;晨昏甚至夜晚会发出令人难忘的两段式哨音;
黑䳍,Black Tinamou,Tinamus osgoodi,大型（40-46厘米）䳍;;⚑羽色呈一致的暗灰色，比灰䳍颜色更深且更朴素;;下体呈红棕色，但在野外很难看到;;分布于安第斯山脉东坡的云雾森林中，与其他森林䳍类一样，更容易通过声音而非视觉观察;;叫声包括低沉、拉长的咕咕声，似鸽子的叫声但更长，以及一系列低沉、变调的哨声;
孤䳍,Solitary Tinamou,Tinamus solitarius,大型（42.5-48厘米）䳍;;背和尾下灰褐色且覆盖条纹，腹部呈浅灰色，颈侧有一条明显的浅色条纹;;非常隐秘，最好通过鸣唱识别，其鸣唱是一系列“frru”的哨声，中间会有较长的无声时段;,巴西近特有
灰䳍,Grey Tinamou,Tinamus tao,大型（42.5-49厘米）䳍;;⚑体型比大䳍和白喉䳍更大;;⚑身体全灰而有别于其他相似的淡色䳍;;上体具细黑条纹，头部有白色斑点;;栖息于高地森林;
黑顶穴䳍,Black-capped Tinamou,Crypturellus atrocapillus,28-31厘米;
巴氏穴䳍,Bartlett's Tinamou,Crypturellus bartletti,25-28厘米;
伯氏穴䳍,Berlepsch's Tinamou,Crypturellus berlepschi,28-32厘米;
灰胸穴䳍,Slaty-breasted Tinamou,Crypturellus boucardi,隐匿、粗壮（25.5-28厘米）几乎无尾的陆生鸟;;全身羽毛呈深色，颈和胸部呈灰色;;雌鸟上体有明显的条纹;;⚑似棕穴䳍，两者都有红色的腿，但本种胸偏灰色;;喜潮湿密林的林下，与棕穴䳍的干燥栖息地不同;;常年能听到其三音节的领地鸣唱：“ah-oowah”;
锈栗穴䳍,Rusty Tinamou,Crypturellus brevirostris,25-28厘米;
斑穴䳍,Barred Tinamou,Crypturellus casiquiare,25.5-27厘米;,哥伦比亚近特有
灰穴䳍,Cinereous Tinamou,Crypturellus cinereus,29-32厘米;
棕穴䳍,Thicket Tinamou,Crypturellus cinnamomeus,热带森林隐匿的中型（25-30厘米）䳍;;⚑注意上体明显的淡色横纹和鲜红色的腿;;⚑似灰胸穴䳍雌鸟，但后者头部呈黑色或深棕色，整体更暗，上体条纹较少;;难以见到，但偶尔会穿过安静的小径;;晨昏时会发出令人难忘的哨音;
灰腿穴䳍,Grey-legged Tinamou,Crypturellus duidae,28.5-31厘米;
红脚穴䳍,Red-legged Tinamou,Crypturellus erythropus,27.5-31厘米;
乔科穴䳍,Choco Tinamou,Crypturellus kerriae,25-26.5厘米;
黄腿穴䳍,Yellow-legged Tinamou,Crypturellus noctivagus,29-32.5厘米;,巴西特有
褐穴䳍,Brown Tinamou,Crypturellus obsoletus,25-30.5厘米;
小嘴穴䳍,Small-billed Tinamou,Crypturellus parvirostris,20-32厘米;
灰喉穴䳍,Tepui Tinamou,Crypturellus ptaritepui,28-30.5厘米;,委内瑞拉近特有
小穴䳍,Little Tinamou,Crypturellus soui,潮湿热带低地隐匿的小型（20-24厘米）䳍;;⚑全身羽毛呈深褐色；头灰色，喉白色，某些亚种（上图）颜色更偏棕色;;⚑注意其腿为暗黄色，且整体无斑纹;;难以见到，但偶尔会穿过安静的小径；受惊时会选择奔跑而不是飞行;;晨昏时会发出颤抖的哨音;
巴西穴䳍,Brazilian Tinamou,Crypturellus strigulosus,27-29厘米;
塔陶穴䳍,Tataupa Tinamou,Crypturellus tataupa,小型（24.5-26.5厘米）穴䳍;;有红色的喙、略带紫色的腿、紫色的背部、灰色的头部以及黑白相间的臀部;;偏爱湿润的森林环境，包括次生林和茂密的森林边缘;;鸣唱以快速颤音“trri trri trri”开始，以响亮且音调渐降的“trru trru trru”结束;
淡眉穴䳍,Pale-browed Tinamou,Crypturellus transfasciatus,25.5-29厘米;
波斑穴䳍,Undulated Tinamou,Crypturellus undulatus,中型（28-32厘米）䳍;;身体呈深灰色，喉部为白色;;⚑上下体均具有不规则的横纹，这些横纹在不同的亚种中强度各异（如图）;;生活在潮湿和干燥的森林中，喜河流附近的地区，但通常在清晨和傍晚会见到它们越过道路或小径；像其他䳍一样，胆怯而难以观察;;叫声是一种遥远而忧郁的“whoo-who-whooo”声，通常在清晨和傍晚长时间重复;
杂色穴䳍,Variegated Tinamou,Crypturellus variegatus,28-31厘米;
角叫鸭,Horned Screamer,Anhima cornuta,71-92厘米;
黑颈冠叫鸭,Northern Screamer,Chauna chavaria,76-91厘米;,哥伦比亚近特有
冠叫鸭,Southern Screamer,Chauna torquata,体型庞大（83-90厘米）模样奇特形似大雁的灰色鸟;;拥有修长的红色双腿;;注意其脑后有细长的冠羽，面部裸露呈红色，还有宽阔的深色颈环，其上还有一圈细细的白色颈环;;⚑飞行时可见白色的翼下;;栖息于湿地，包括沼泽和湖泊，常大群聚集;;鸣叫非常响亮且传得很远，通常以二重唱的形式发出;
鹊雁,Magpie Goose,Anseranas semipalmata,雄75-90厘米，雌70-80厘米;,澳大利亚近特有
白背鸭,White-backed Duck,Thalassornis leuconotus,体型稍小（38-43厘米）体色呈黄褐色头部圆鼓的鸭;;⚑若看得真切，喙基部的白色斑块是辨识关键;;⚑其得名的白色背部通常仅在飞行时可见;;⚑在水中身姿较低，尾常与水面齐平，外形独特;;具部分迁徙的习性；常以小群体出现在有水生植物（尤其是睡莲）的浅湖和水洼中;;大多时候很安静；但偶尔会发出类似吱吱玩具的“嘶 - 嘶”哨音;
西印度树鸭,West Indian Whistling Duck,Dendrocygna arborea,特征鲜明的大型（48-58厘米）大型鸭类;;⚑似茶色树鸭，但后者羽色更鲜亮，胁部有条纹而非斑点;;夜行性鸟类，白天在红树林、树木繁茂的池塘和沼泽中栖息，主要在夜间觅食；总体数量稀少，且通常较为隐秘，尤其是在允许猎捕该物种的地区;;鸣叫是响亮尖锐的哨音：“pip - pip - pip - weeeeeaaaa”，通常在受到惊扰或飞行时发出;,西印度群岛特有
斑胸树鸭,Wandering Whistling Duck,Dendrocygna arcuata,中型（40-45厘米）深色树鸭;;⚑侧翼羽毛奶油色，且不似尖羽树鸭突出;;通常集群于湖泊、池塘和水坝周围;
黑腹树鸭,Black-bellied Whistling Duck,Dendrocygna autumnalis,瘦长的中型（47-51厘米）树鸭;;⚑成鸟为栗色和黑色，带粉红色的腿和喙;;⚑翅上具醒目的白斑，在飞行中尤其清楚;;⚑幼鸟（左图）整体呈暗褐色，喙和腿呈灰色；可能会与茶色树鸭混淆，但翼上具白斑，且两胁和腹部通常带黑色;;鸣声为带喘息的哨音，较茶色树鸭更柔和而富有旋律;
茶色树鸭,Fulvous Whistling Duck,Dendrocygna bicolor,中型（43-53厘米）焦糖色鸭子;;颈长，腿长;;⚑注意蓝灰色的腿和喙，身侧具白色条纹;;⚑在飞行中可通过全黑的翅膀与黑腹树鸭区分;;通常在沼泽、池塘和水田中成群出现，日夜活跃;;常发出口哨音，雄鸟的声音更嘶哑，雌鸟的鼻音和吱吱声更多;
尖羽树鸭,Plumed Whistling Duck,Dendrocygna eytoni,40-45厘米;,澳大利亚特有
细斑树鸭,Spotted Whistling Duck,Dendrocygna guttata,43-50厘米;
栗树鸭,Lesser Whistling Duck,Dendrocygna javanica,树上筑巢的小型（38-42厘米）鸭;;注意微弱的橙黄色眼圈，及深灰色的喙和腿;;在岸上时，站姿笔直;;⚑飞行时飞羽黑色，小覆羽及尾上飞羽栗红色;;通常栖息于湿地、湖沼、有红树林的河流等生境；集群活动，于夜间觅食，主食水生植物，喜食谷物;;飞行中常发出悦耳的尖哨音“seasick seasick”;
白脸树鸭,White-faced Whistling Duck,Dendrocygna viduata,显眼的鸭（38-48厘米）;;具黑白色的头部、红棕色的胸部以及带横纹的胁部;;⚑像其他树鸭一样，长长的颈和腿使其看起来像鹅;;见于淡水沼泽、湖泊和稻田里，通常成群出现，有时数量多达数百只；在夜间觅食;
麝鸭,Musk Duck,Biziura lobata,雄61-71厘米，雌53-58厘米;,澳大利亚特有
厚嘴棉凫,African Pygmy Goose,Nettapus auritus,色彩斑斓的小型（27-33厘米）水禽;;下体呈红褐色，背部深色，脸部有白色;;雄鸟头后部有绿色斑块，喙为黄色；雌鸟头部黑白相间，喙色深;;⚑飞行时翅上有白色;;⚑比大多数鸭类体型更小，其小巧的体型以及醒目艳丽的羽毛使其区别于其他水禽;;⚑多见于生长有漂浮植被，尤其是睡莲的淡水湿地（右上图）；生性羞怯且不引人注目，通常避开开阔水面;;叫声为高亢的吱吱声;
棉凫,Cotton Pygmy Goose,Nettapus coromandelianus,小型（31-38厘米）深绿及白色鸭;;雄鸟头部和颈部亮白色，头顶和眼部黑色;;雌鸟羽色更加单调，过眼纹黑色且不延伸到枕部;;⚑飞行中的雌鸟翼后显细长的白色边缘，而雄鸟则有大片白色翼斑;;常在淡水湿地中活动，包括小型池塘、农场水坝和红树林;;边飞边发出似蛙鸣的“wua-wewe”声，雄鸟会发出带金属音的高音“pi”或“ki”声;
绿棉凫,Green Pygmy Goose,Nettapus pulchellus,体型迷你（30-36厘米）的鸭类;;雄鸟头和颈呈暗绿色，面颊有醒目的白色斑块;;雌鸟没有暗绿色的头颈部，但有一条清晰的黑色过眼纹，且该纹路向后延伸至后颈;;通常栖息于澳大利亚北部各地的热带淡水湿地中;,澳大利亚近特有
澳洲斑鸭,Freckled Duck,Stictonetta naevosa,50-56厘米;,澳大利亚特有
黑头鸭,Black-headed Duck,Heteronetta atricapilla,40-42厘米;
花脸硬尾鸭,Masked Duck,Nomonyx dominicus,小型（33-38厘米）的潜水鸭;;⚑繁殖期雄鸟具黑色面罩，明亮的蓝色喙和带黑色锈迹的身体;;雌鸟更常见，棕褐色脸颊上带有两条粗黑条纹;;主要在夜间觅食，白天大部分时间都在沼泽植被中安静地睡觉，出现在小池塘甚至路边的沟渠中；很少见其飞行，但可以直接起飞而不需要在水面助跑;;繁殖期雄鸟发出一系列“kirri kirroo kirri kirroo”声;
澳洲硬尾鸭,Blue-billed Duck,Oxyura australis,35-44厘米;,澳大利亚特有
棕硬尾鸭,Ruddy Duck,Oxyura jamaicensis,小而紧凑（35-43厘米）的鸭子;;尾呈扇形，经常伸出水面;;⚑繁殖期雄鸟栗色，头顶黑色，脸颊白色，喙淡蓝色;;⚑雌鸟和未成年雄鸟整体呈棕色，头顶黑色，脸颊上有一条黑色的条纹;;通常成群结队地在池塘和海湾上像软木塞一样上下摆动；潜入水中觅食无脊椎动物；不常看到飞行;;通常无声，但求偶期雄鸟喙发出一系列“jif jif jif jif ji ji ji jijijijijijijwirrrr”的叫声;
白头硬尾鸭,White-headed Duck,Oxyura leucocephala,长相奇特的中型（43-48厘米）潜水鸭;;尾通常翘起;;雄鸟具醒目的白色脸颊和黑色冠，与蓝色的大喙和栗色的身体形成鲜明对比;;⚑雌鸟和幼鸟的喙较深褐色，冠部较宽，颊部有较浅的条纹，似棕硬尾鸭;;通常见于有茂密水生植物的浅水、开阔水域中;;繁殖期雄鸟发出“ge-ge”的笛音和管笛声，雌鸟发出低沉的粗哑叫声;
非洲硬尾鸭,Maccoa Duck,Oxyura maccoa,中型（46-51厘米）身形敦实外形奇特喙大的鸭类;;长尾有时会向上翘起，形成独特的轮廓;;⚑繁殖期雄鸭头部黑色，身体赤褐色，喙蓝色;;⚑雌鸭和非繁殖期雄鸭为深褐色，头部有白色条纹;;很少见其飞行；受到惊扰时更倾向于潜水逃避;;奇特的外形与同区域内的其他鸭类都不同，色彩鲜艳的繁殖期雄鸭特征明显;;偏爱淡水湿地，如湖泊、池塘和潟湖，不过有时也见于盐湖，在水面漂浮时位置较低;
南美硬尾鸭,Lake Duck,Oxyura vittata,中型（36-46厘米）潜水鸭;;⚑极似低地罕见的安第斯鸭（棕硬尾鸭的南美亚种），但头部更方正，尾略长；雌鸭的斑纹通常对比更鲜明且颜色更浅，体侧有浅色横斑，脸部条纹更醒目;;栖息于周边有芦苇的湖泊以及有开阔水面的湿地，常花大量时间睡觉;
距翅雁,Spur-winged Goose,Plectropterus gambensis,大型（75-100厘米）长颈的水禽;;雄鸟体型比雌鸟大得多;;主体为黑色，头部、腹部和翅上有不同程度的白色;;喙、脸部和腿部呈红色且有疣状突起;;⚑飞行时，白色的前翼与黑色的身体形成鲜明对比，使其有别于该地区的其他水禽;;主要在各类湿地生境和湿润草地觅食植物性食物;
红耳鸭,Pink-eared Duck,Malacorhynchus membranaceus,36-45厘米;,澳大利亚特有
扁嘴天鹅,Coscoroba Swan,Coscoroba coscoroba,独具特色的白色天鹅（90-115厘米）;;喙鲜亮，形似鸭喙；最易与白色家养水禽混淆;;⚑游泳时，黑色的翼尖通常藏于水下;;⚑雏鸟（左下图）呈污褐色，面部有黑色面罩，但在孵化一两个月后就与成鸟十分相像;;在湖泊、流速缓慢的河流、有开阔水面的湿地、河口以及近岸沿海水域颇为常见，但有时分布范围有限；常成群活动，且很容易与黑颈天鹅混群;;其名源于略带粗哑、类似“kós-ko roa”的鸣叫声;
澳洲灰雁,Cape Barren Goose,Cereopsis novaehollandiae,大型（75-100厘米）浅灰色雁;;注意其浅黄色且略微下垂的喙;;通常成对出现，或以松散的群体分布在沿海湿地、盐沼和草地牧场区域;,澳大利亚特有
黑天鹅,Black Swan,Cygnus atratus,无法误认的巨型（110-140厘米）黑色天鹅;;具红色的喙;;⚑飞行时，翅上有非常明显大片的白色飞羽;;⚑幼鸟似成鸟，但为深灰色;;⚑略似鹊雁，但后者有白色的腹部和带黑色尖端的白色下翼;;通常见于内陆水道、河流、污水池塘以及沿海泻湖和入口；有时会在大型湿地上聚集成大群;,澳大利亚特有
黑嘴天鹅,Trumpeter Swan,Cygnus buccinator,巨型（139-157厘米）天鹅;;⚑幼鸟（上图）喙呈灰褐色，带有粉红色;;⚑极似小天鹅，但喙无黄色；眼先的黑色部分相对较宽，白色脸颊与黑色喙的分界线较直;;在浅水植被湿地中觅食，伸入水下寻找植物；繁殖于淡水沼泽和池塘；在任何有食物可用的开放水域过冬;,北美特有
小天鹅,Tundra Swan,Cygnus columbianus,颈长的巨型（115-140厘米）天鹅;;⚑喙黑色，但部分亚种（左上图）喙上有黄色;;⚑幼鸟（左下图）整体暗灰褐色，喙粉红;;⚑似大天鹅，但体型更小，喙更细，喙基处黄色较少;;在极北的池塘和苔原上繁殖，越冬时在淡水或盐水水域成大群；常在水浅、植被茂密的湿地中寻找水下植物，或在玉米梗中漫步觅食;
大天鹅,Whooper Swan,Cygnus cygnus,巨型（140-165厘米）天鹅;;⚑较直的颈、短的尾羽及有坡度的喙将本种区别于疣鼻天鹅;;⚑似小天鹅，但喙的黄色面积更大（超过鼻孔）且嘴基端部较尖，鸣叫更低沉似吹号;;⚑第一冬幼鸟（右图）较同龄的小天鹅幼鸟羽色更加暗淡;
黑颈天鹅,Black-necked Swan,Cygnus melancoryphus,黑色颈的天鹅（102-124厘米）;;⚑幼鹅（左下图）全身洁白，不久后颈部会变得暗淡；孵化后一到两个月内，就会长得像成年天鹅;;见于湖泊、缓慢流动的河流、带有开阔水域的湿地、河口以及近海沿岸水域中；通常呈群体出现，冬季当地可多达数百只，并常与扁嘴天鹅混群;
疣鼻天鹅,Mute Swan,Cygnus olor,颈长的巨型（127-152厘米）白色水鸟;;成鸟喙部橙红色，脸部黑色，额前喙基处有一黑色瘤;;⚑幼鸟（小图）整体褐色，喙灰色;;原生于欧亚大陆北部；引入世界各地，包括北美、新西兰、日本和西澳;;通常成对或集小群活动出现于湖塘、河道、海岸等静水区域；对本土水鸟极具攻击性;
黑雁,Brant Goose,Branta bernicla,小型（55-66厘米）短腿的沿海雁类;;⚑具有独特的黑色头颈，并饰有白色“小项链”;;在北极高地的苔原上繁殖；在盐沼、岩石海岸线、避风海湾和海滩过冬;;通常在内陆罕见；几乎总是成群出现，很少与其他雁类混种;;叫声为嘈杂的“raunk-raunk”声;
加拿大黑雁,Canada Goose,Branta canadensis,大型（95-110厘米）雁类;;颈黑色，脸颊下方白色;;⚑亚种间的整体大小、喙大小和棕色颜色各不相同（小图）;;⚑常与小美洲黑雁混群，尤其在北美中西部；几乎总比小美洲黑雁更大、颈和喙更长，但要注意最小的加拿大黑雁和最大的小美洲黑雁之间存在一些重叠;;迁移飞行时可听见嘹亮的鸣叫，为“wa-wa”声或“ga-ga”声;
