
 
ANSERIFORMES: Anatidae

Amsterdam Wigeon	Mareca marecula	Extinct
Emperor Penguin	Aptenodytes forsteri	Near-threatened
Adelie Penguin	Pygoscelis adeliae	
Gentoo Penguin	Pygoscelis papua	
Chinstrap Penguin	Pygoscelis antarcticus	
Macaroni Penguin	Eudyptes chrysolophus	Vulnerable
Royal Penguin	Eudyptes schlegeli	
Eastern Rockhopper Penguin	Eudyptes filholi	
Northern Rockhopper Penguin	Eudyptes moseleyi	Endangered
 
PROCELLARIIFORMES: Diomedeidae

Northern Royal Albatross	Diomedea sanfordi	Rare/Accidental Endangered
Southern Royal Albatross	Diomedea epomophora	Vulnerable
Snowy Albatross	Diomedea exulans	Vulnerable
Antipodean Albatross	Diomedea antipodensis	Endangered
Amsterdam Albatross	Diomedea amsterdamensis	Endangered
Light-mantled Albatross	Phoebetria palpebrata	Near-threatened
Sooty Albatross	Phoebetria fusca	Endangered
Indian Yellow-nosed Albatross	Thalassarche carteri	Endangered
Grey-headed Albatross	Thalassarche chrysostoma	Endangered
Black-browed Albatross	Thalassarche melanophris	
Shy Albatross	Thalassarche cauta	
Salvin's Albatross	Thalassarche salvini	Vulnerable
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	
Grey-backed Storm Petrel	Garrodia nereis	
White-faced Storm Petrel	Pelagodroma marina	Extirpated
White-bellied Storm Petrel	Fregetta grallaria	
Black-bellied Storm Petrel	Fregetta tropica	
 
PROCELLARIIFORMES: Procellariidae

Snow Petrel	Pagodroma nivea	
Antarctic Petrel	Thalassoica antarctica	Rare/Accidental
Pintado Petrel	Daption capense	
Southern Giant Petrel	Macronectes giganteus	
Northern Giant Petrel	Macronectes halli	
Southern Fulmar	Fulmarus glacialoides	Rare/Accidental
Jouanin's Petrel	Bulweria fallax	Near-threatened
Mascarene Petrel	Pseudobulweria aterrima	Critically endangered
Grey Petrel	Procellaria cinerea	Near-threatened
White-chinned Petrel	Procellaria aequinoctialis	Vulnerable
Scopoli's Shearwater	Calonectris diomedea	
Wedge-tailed Shearwater	Ardenna pacifica	Rare/Accidental
Sooty Shearwater	Ardenna grisea	Near-threatened
Great Shearwater	Ardenna gravis	Rare/Accidental
Flesh-footed Shearwater	Ardenna carneipes	Near-threatened
Subantarctic Shearwater	Puffinus elegans	
Little Shearwater	Puffinus assimilis	
Tropical Shearwater	Puffinus bailloni	
Rapa Shearwater	Puffinus myrtae	Critically endangered
Common Diving Petrel	Pelecanoides urinatrix	
South Georgia Diving Petrel	Pelecanoides georgicus	
Blue Petrel	Halobaena caerulea	
Fairy Prion	Pachyptila turtur	
Broad-billed Prion	Pachyptila vittata	
Salvin's Prion	Pachyptila salvini	
MacGillivray's Prion	Pachyptila macgillivrayi	Critically endangered
Antarctic Prion	Pachyptila desolata	
Slender-billed Prion	Pachyptila belcheri	
Fulmar Prion	Pachyptila crassirostris	
Kerguelen Petrel	Aphrodroma brevirostris	
Soft-plumaged Petrel	Pterodroma mollis	
White-headed Petrel	Pterodroma lessonii	
Great-winged Petrel	Pterodroma macroptera	
Juan Fernandez Petrel	Pterodroma externa	Rare/Accidental Vulnerable
Barau's Petrel	Pterodroma baraui	Rare/Accidental Endangered
White-necked Petrel	Pterodroma cervicalis	Rare/Accidental Vulnerable
 
CICONIIFORMES: Ciconiidae

White Stork	Ciconia ciconia	Rare/Accidental
 
SULIFORMES: Fregatidae

Lesser Frigatebird	Fregata ariel	
Great Frigatebird	Fregata minor	
 
SULIFORMES: Sulidae

Cape Gannet	Morus capensis	Rare/Accidental Endangered
Australasian Gannet	Morus serrator	
Red-footed Booby	Sula sula	
Brown Booby	Sula leucogaster	
Masked Booby	Sula dactylatra	
 
SULIFORMES: Phalacrocoracidae

Imperial Shag	Leucocarbo atriceps	
 
PELECANIFORMES: Ardeidae

Western Reef Heron	Egretta gularis	
Little Egret	Egretta garzetta	
Black-crowned Night Heron	Nycticorax nycticorax	
Malagasy Pond Heron	Ardeola idae	Endangered
Grey Heron	Ardea cinerea	
 
STRIGIFORMES: Tytonidae

Western Barn Owl	Tyto alba	Introduced species
 
CORACIIFORMES: Coraciidae

Broad-billed Roller	Eurystomus glaucurus	
 
CORACIIFORMES: Meropidae

Olive Bee-eater	Merops superciliosus	
 
FALCONIFORMES: Falconidae

Eleonora's Falcon	Falco eleonorae	
 
PASSERIFORMES: Corvidae

Pied Crow	Corvus albus	
 
PASSERIFORMES: Cisticolidae

Madagascar Cisticola	Cisticola cherina	
 
PASSERIFORMES: Hirundinidae

Banded Martin	Neophedina cincta	Rare/Accidental
Sand Martin	Riparia riparia	
Barn Swallow	Hirundo rustica	
 
PASSERIFORMES: Pycnonotidae

Malagasy Bulbul	Hypsipetes madagascariensis	
 
PASSERIFORMES: Zosteropidae

Malagasy White-eye	Zosterops maderaspatanus	
 
PASSERIFORMES: Nectariniidae

Souimanga Sunbird	Cinnyris sovimanga	
Malagasy Green Sunbird	Cinnyris notatus	
 
PASSERIFORMES: Ploceidae

Red Fody	Foudia madagascariensis	
 
PASSERIFORMES: Estrildidae

Common Waxbill	Estrilda astrild	Introduced species
