STRUTHIONIFORMES: Struthionidae

Common Ostrich	Struthio camelus	Introduced species
Swinhoe's Storm Petrel	Oceanodroma monorhis	Rare/Accidental
 
PROCELLARIIFORMES: Procellariidae

Sooty Shearwater	Ardenna grisea	Rare/Accidental
Flesh-footed Shearwater	Ardenna carneipes	
Persian Shearwater	Puffinus persicus	
Tropical Shearwater	Puffinus bailloni	
Jouanin's Petrel	Bulweria fallax	Rare/Accidental
 
CICONIIFORMES: Ciconiidae

Black Stork	Ciconia nigra	
Abdim's Stork	Ciconia abdimii	
White Stork	Ciconia ciconia	
 
SULIFORMES: Sulidae

Masked Booby	Sula dactylatra	
Red-footed Booby	Sula sula	Rare/Accidental
Brown Booby	Sula leucogaster	
 
SULIFORMES: Phalacrocoracidae

Socotra Cormorant	Phalacrocorax nigrogularis	
White-breasted Cormorant	Phalacrocorax lucidus	Rare/Accidental
Great Cormorant	Phalacrocorax carbo	
 
PELECANIFORMES: Threskiornithidae

African Sacred Ibis	Threskiornis aethiopicus	Rare/Accidental
Northern Bald Ibis	Geronticus eremita	Rare/Accidental
Glossy Ibis	Plegadis falcinellus	
Eurasian Spoonbill	Platalea leucorodia	
African Spoonbill	Platalea alba	Rare/Accidental
 
PELECANIFORMES: Ardeidae

Eurasian Bittern	Botaurus stellaris	
Little Bittern	Ixobrychus minutus	
Yellow Bittern	Ixobrychus sinensis	Rare/Accidental
Black-crowned Night Heron	Nycticorax nycticorax	
Striated Heron	Butorides striata	
Squacco Heron	Ardeola ralloides	
Indian Pond Heron	Ardeola grayii	Rare/Accidental
Western Cattle Egret	Bubulcus ibis	
Grey Heron	Ardea cinerea	
Black-headed Heron	Ardea melanocephala	Rare/Accidental
Goliath Heron	Ardea goliath	
Purple Heron	Ardea purpurea	
Great Egret	Ardea alba	
Intermediate Egret	Ardea intermedia	Rare/Accidental
Little Egret	Egretta garzetta	
Western Reef Heron	Egretta gularis	
 
PELECANIFORMES: Scopidae

Hamerkop	Scopus umbretta	
 
PELECANIFORMES: Pelecanidae

Great White Pelican	Pelecanus onocrotalus	
Pink-backed Pelican	Pelecanus rufescens	
 
ACCIPITRIFORMES: Pandionidae

Western Osprey	Pandion haliaetus	
 
ACCIPITRIFORMES: Accipitridae

Black-winged Kite	Elanus caeruleus	Rare/Accidental
Bearded Vulture	Gypaetus barbatus	
Egyptian Vulture	Neophron percnopterus	
European Honey Buzzard	Pernis apivorus	
Crested Honey Buzzard	Pernis ptilorhynchus	
Rüppell's Vulture	Gyps rueppelli	Rare/Accidental
Griffon Vulture	Gyps fulvus	
Cinereous Vulture	Aegypius monachus	Rare/Accidental
Lappet-faced Vulture	Torgos tracheliotos	
Short-toed Snake Eagle	Circaetus gallicus	
Bateleur	Terathopius ecaudatus	
Lesser Spotted Eagle	Clanga pomarina	Rare/Accidental
Greater Spotted Eagle	Clanga clanga	
Booted Eagle	Hieraaetus pennatus	
Tawny Eagle	Aquila rapax	
Steppe Eagle	Aquila nipalensis	
Eastern Imperial Eagle	Aquila heliaca	
Golden Eagle	Aquila chrysaetos	
Verreaux's Eagle	Aquila verreauxii	
Bonelli's Eagle	Aquila fasciata	
Gabar Goshawk	Micronisus gabar	
Dark Chanting Goshawk	Melierax metabates	
Shikra	Accipiter badius	
Levant Sparrowhawk	Accipiter brevipes	Rare/Accidental
Eurasian Sparrowhawk	Accipiter nisus	
Northern Goshawk	Accipiter gentilis	Rare/Accidental
Western Marsh Harrier	Circus aeruginosus	
Hen Harrier	Circus cyaneus	
Pallid Harrier	Circus macrourus	
Montagu's Harrier	Circus pygargus	
Black Kite	Milvus migrans	
Yellow-billed Kite	Milvus aegyptius	
Pallas's Fish Eagle	Haliaeetus leucoryphus	Rare/Accidental
White-tailed Eagle	Haliaeetus albicilla	Rare/Accidental
Long-legged Buzzard	Buteo rufinus	
Common Buzzard	Buteo buteo	
 
STRIGIFORMES: Tytonidae

Western Barn Owl	Tyto alba	
 
STRIGIFORMES: Strigidae

Little Owl	Athene noctua	
Eurasian Scops Owl	Otus scops	
Pallid Scops Owl	Otus brucei	
Arabian Scops Owl	Otus pamelae	
Indian Scops Owl	Otus bakkamoena	
Long-eared Owl	Asio otus	Rare/Accidental
Short-eared Owl	Asio flammeus	
Eurasian Eagle-Owl	Bubo bubo	
Pharaoh Eagle-Owl	Bubo ascalaphus	
Arabian Eagle-Owl	Bubo milesi	
Desert Owl	Strix hadorami	
Omani Owl	Strix butleri	Rare/Accidental
 
BUCEROTIFORMES: Upupidae

Eurasian Hoopoe	Upupa epops	
 
BUCEROTIFORMES: Bucerotidae

African Grey Hornbill	Lophoceros nasutus	
 
CORACIIFORMES: Coraciidae

Indian Roller	Coracias benghalensis	
Abyssinian Roller	Coracias abyssinicus	
European Roller	Coracias garrulus	
 
CORACIIFORMES: Alcedinidae

White-throated Kingfisher	Halcyon smyrnensis	
Grey-headed Kingfisher	Halcyon leucocephala	
Collared Kingfisher	Todiramphus chloris	
Common Kingfisher	Alcedo atthis	
Pied Kingfisher	Ceryle rudis	
 
CORACIIFORMES: Meropidae

Somali Bee-eater	Merops revoilii	
White-throated Bee-eater	Merops albicollis	
Green Bee-eater	Merops orientalis	
Blue-cheeked Bee-eater	Merops persicus	
European Bee-eater	Merops apiaster	
 
PICIFORMES: Picidae

Eurasian Wryneck	Jynx torquilla	
Arabian Woodpecker	Dendrocoptes dorae	
 
FALCONIFORMES: Falconidae

Lesser Kestrel	Falco naumanni	
Common Kestrel	Falco tinnunculus	
Red-footed Falcon	Falco vespertinus	
Amur Falcon	Falco amurensis	
Eleonora's Falcon	Falco eleonorae	
Sooty Falcon	Falco concolor	
Merlin	Falco columbarius	
Eurasian Hobby	Falco subbuteo	
Lanner Falcon	Falco biarmicus	
Saker Falcon	Falco cherrug	
Peregrine Falcon	Falco peregrinus	
 
PSITTACIFORMES: Psittaculidae

Alexandrine Parakeet	Psittacula eupatria	Introduced species
Rose-ringed Parakeet	Psittacula krameri	Introduced species
 
PASSERIFORMES: Malaconotidae

Black-crowned Tchagra	Tchagra senegalus	
 
PASSERIFORMES: Laniidae

Brown Shrike	Lanius cristatus	Rare/Accidental
Red-backed Shrike	Lanius collurio	
Isabelline Shrike	Lanius isabellinus	
Red-tailed Shrike	Lanius phoenicuroides	
Bay-backed Shrike	Lanius vittatus	Rare/Accidental
Lesser Grey Shrike	Lanius minor	
Great Grey Shrike	Lanius excubitor	
Woodchat Shrike	Lanius senator	
Masked Shrike	Lanius nubicus	
 
PASSERIFORMES: Oriolidae

Eurasian Golden Oriole	Oriolus oriolus	
 
PASSERIFORMES: Monarchidae

African Paradise Flycatcher	Terpsiphone viridis	
 
PASSERIFORMES: Corvidae

Eurasian Magpie	Pica pica	
Asir Magpie	Pica asirensis	Endemic
Red-billed Chough	Pyrrhocorax pyrrhocorax	
Western Jackdaw	Coloeus monedula	Rare/Accidental
House Crow	Corvus splendens	
Rook	Corvus frugilegus	
Carrion Crow	Corvus corone	
Pied Crow	Corvus albus	Rare/Accidental
Brown-necked Raven	Corvus ruficollis	
Northern Raven	Corvus corax	Rare/Accidental
Fan-tailed Raven	Corvus rhipidurus	
 
PASSERIFORMES: Hypocoliidae

Grey Hypocolius	Hypocolius ampelinus	
 
PASSERIFORMES: Remizidae

Eurasian Penduline Tit	Remiz pendulinus	Rare/Accidental
 
PASSERIFORMES: Panuridae

Bearded Reedling	Panurus biarmicus	Rare/Accidental
 
PASSERIFORMES: Alaudidae

Greater Hoopoe-Lark	Alaemon alaudipes	
Thick-billed Lark	Ramphocoris clotbey	
Desert Lark	Ammomanes deserti	
Bar-tailed Lark	Ammomanes cinctura	
Black-crowned Sparrow-Lark	Eremopterix nigriceps	
Singing Bush Lark	Mirafra cantillans	
Woodlark	Lullula arborea	Rare/Accidental
Oriental Skylark	Alauda gulgula	
Eurasian Skylark	Alauda arvensis	
Crested Lark	Galerida cristata	
Temminck's Lark	Eremophila bilopha	
Rufous-capped Lark	Calandrella eremica	
Greater Short-toed Lark	Calandrella brachydactyla	
Bimaculated Lark	Melanocorypha bimaculata	
Calandra Lark	Melanocorypha calandra	Rare/Accidental
Dunn's Lark	Eremalauda dunni	
Mediterranean Short-toed Lark	Alaudala rufescens	
 
PASSERIFORMES: Pycnonotidae

Red-whiskered Bulbul	Pycnonotus jocosus	Introduced species
Red-vented Bulbul	Pycnonotus cafer	Introduced species
White-eared Bulbul	Pycnonotus leucotis	
White-spectacled Bulbul	Pycnonotus xanthopygos	
 
PASSERIFORMES: Hirundinidae

Brown-throated Martin	Riparia paludicola	Rare/Accidental
Grey-throated Martin	Riparia chinensis	Rare/Accidental
Sand Martin	Riparia riparia	
Pale Martin	Riparia diluta	Rare/Accidental
Banded Martin	Riparia cincta	Rare/Accidental
Barn Swallow	Hirundo rustica	
Eurasian Crag Martin	Ptyonoprogne rupestris	
Pale Crag Martin	Ptyonoprogne obsoleta	
Common House Martin	Delichon urbicum	
Red-rumped Swallow	Cecropis daurica	
 
PASSERIFORMES: Scotocercidae

Streaked Scrub Warbler	Scotocerca inquieta	
 
PASSERIFORMES: Phylloscopidae

Wood Warbler	Phylloscopus sibilatrix	
Eastern Bonelli's Warbler	Phylloscopus orientalis	Rare/Accidental
Hume's Leaf Warbler	Phylloscopus humei	Rare/Accidental
Yellow-browed Warbler	Phylloscopus inornatus	
Dusky Warbler	Phylloscopus fuscatus	Rare/Accidental
Plain Leaf Warbler	Phylloscopus neglectus	
Willow Warbler	Phylloscopus trochilus	
Common Chiffchaff	Phylloscopus collybita	
Brown Woodland Warbler	Phylloscopus umbrovirens	
Green Warbler	Phylloscopus nitidus	Rare/Accidental
Greenish Warbler	Phylloscopus trochiloides	Rare/Accidental
Arctic Warbler	Phylloscopus borealis	Rare/Accidental
 
PASSERIFORMES: Acrocephalidae

Basra Reed Warbler	Acrocephalus griseldis	
Great Reed Warbler	Acrocephalus arundinaceus	
Clamorous Reed Warbler	Acrocephalus stentoreus	
Moustached Warbler	Acrocephalus melanopogon	
Sedge Warbler	Acrocephalus schoenobaenus	
Blyth's Reed Warbler	Acrocephalus dumetorum	Rare/Accidental
Eurasian Reed Warbler	Acrocephalus scirpaceus	
African Reed Warbler	Acrocephalus baeticatus	
Marsh Warbler	Acrocephalus palustris	
Thick-billed Warbler	Arundinax aedon	Rare/Accidental
Booted Warbler	Iduna caligata	Rare/Accidental
Sykes's Warbler	Iduna rama	
Eastern Olivaceous Warbler	Iduna pallida	
Upcher's Warbler	Hippolais languida	
Olive-tree Warbler	Hippolais olivetorum	Rare/Accidental
Icterine Warbler	Hippolais icterina	
 
PASSERIFORMES: Locustellidae

River Warbler	Locustella fluviatilis	Rare/Accidental
Savi's Warbler	Locustella luscinioides	
Common Grasshopper Warbler	Locustella naevia	
 
PASSERIFORMES: Cisticolidae

Zitting Cisticola	Cisticola juncidis	
Graceful Prinia	Prinia gracilis	
 
PASSERIFORMES: Sylviidae

Eurasian Blackcap	Sylvia atricapilla	
Garden Warbler	Sylvia borin	
Barred Warbler	Curruca nisoria	
Desert Whitethroat	Curruca minula	
Lesser Whitethroat	Curruca curruca	
Hume's Whitethroat	Curruca althaea	Rare/Accidental
Yemen Warbler	Curruca buryi	
Arabian Warbler	Curruca leucomelaena	
Eastern Orphean Warbler	Curruca crassirostris	
Asian Desert Warbler	Curruca nana	
Menetries's Warbler	Curruca mystacea	
Rüppell's Warbler	Curruca ruppeli	
Cyprus Warbler	Curruca melanothorax	Rare/Accidental
Sardinian Warbler	Curruca melanocephala	Rare/Accidental
Eastern Subalpine Warbler	Curruca cantillans	
Common Whitethroat	Curruca communis	
Spectacled Warbler	Curruca conspicillata	Rare/Accidental
 
PASSERIFORMES: Zosteropidae

Abyssinian White-eye	Zosterops abyssinicus	
 
PASSERIFORMES: Leiothrichidae

Arabian Babbler	Argya squamiceps	
 
PASSERIFORMES: Sturnidae

Bank Myna	Acridotheres ginginianus	Introduced species
Common Myna	Acridotheres tristis	Introduced species
Pied Myna	Gracupica contra	Introduced species
Rosy Starling	Pastor roseus	
Common Starling	Sturnus vulgaris	
Violet-backed Starling	Cinnyricinclus leucogaster	
Tristram's Starling	Onychognathus tristramii	
 
PASSERIFORMES: Turdidae

Yemen Thrush	Turdus menachensis	
Ring Ouzel	Turdus torquatus	
Common Blackbird	Turdus merula	
Black-throated Thrush	Turdus atrogularis	
Dusky Thrush	Turdus eunomus	Rare/Accidental
Fieldfare	Turdus pilaris	
Redwing	Turdus iliacus	
Song Thrush	Turdus philomelos	
Mistle Thrush	Turdus viscivorus	
 
PASSERIFORMES: Muscicapidae

Black Scrub Robin	Cercotrichas podobe	
Rufous-tailed Scrub Robin	Cercotrichas galactotes	
Spotted Flycatcher	Muscicapa striata	
Gambaga Flycatcher	Muscicapa gambagae	
European Robin	Erithacus rubecula	
Bluethroat	Luscinia svecica	
Thrush Nightingale	Luscinia luscinia	
Common Nightingale	Luscinia megarhynchos	Rare/Accidental
White-throated Robin	Irania gutturalis	
Red-breasted Flycatcher	Ficedula parva	
Semicollared Flycatcher	Ficedula semitorquata	
Collared Flycatcher	Ficedula albicollis	
Eversmann's Redstart	Phoenicurus erythronotus	Rare/Accidental
Black Redstart	Phoenicurus ochruros	
Common Redstart	Phoenicurus phoenicurus	
Güldenstädt's Redstart	Phoenicurus erythrogastrus	Rare/Accidental
Common Rock Thrush	Monticola saxatilis	
Little Rock Thrush	Monticola rufocinereus	
Blue Rock Thrush	Monticola solitarius	
Whinchat	Saxicola rubetra	
European Stonechat	Saxicola rubicola	
Siberian Stonechat	Saxicola maurus	
African Stonechat	Saxicola torquatus	
Pied Bush Chat	Saxicola caprata	
Northern Wheatear	Oenanthe oenanthe	
Red-breasted Wheatear	Oenanthe bottae	
Isabelline Wheatear	Oenanthe isabellina	
Hooded Wheatear	Oenanthe monacha	
Desert Wheatear	Oenanthe deserti	
Eastern Black-eared Wheatear	Oenanthe melanoleuca	
Cyprus Wheatear	Oenanthe cypriaca	
Pied Wheatear	Oenanthe pleschanka	
Red-rumped Wheatear	Oenanthe moesta	Rare/Accidental
Blackstart	Oenanthe melanura	
Variable Wheatear	Oenanthe picata	Rare/Accidental
White-crowned Wheatear	Oenanthe leucopyga	
Hume's Wheatear	Oenanthe albonigra	Rare/Accidental
Finsch's Wheatear	Oenanthe finschii	
Mourning Wheatear	Oenanthe lugens	
Arabian Wheatear	Oenanthe lugentoides	
Kurdish Wheatear	Oenanthe xanthoprymna	Rare/Accidental
Red-tailed Wheatear	Oenanthe chrysopygia	
 
PASSERIFORMES: Nectariniidae

Nile Valley Sunbird	Hedydipna metallica	
Palestine Sunbird	Cinnyris osea	
Shining Sunbird	Cinnyris habessinicus	
 
PASSERIFORMES: Passeridae

House Sparrow	Passer domesticus	
Spanish Sparrow	Passer hispaniolensis	
Dead Sea Sparrow	Passer moabiticus	
Arabian Golden Sparrow	Passer euchlorus	
Pale Rockfinch	Carpospiza brachydactyla	
Sahel Bush Sparrow	Gymnoris dentata	
Yellow-throated Sparrow	Gymnoris xanthocollis	
 
PASSERIFORMES: Ploceidae

Rüppell's Weaver	Ploceus galbula	
Streaked Weaver	Ploceus manyar	Introduced species
Baya Weaver	Ploceus philippinus	Introduced species
 
PASSERIFORMES: Estrildidae

African Silverbill	Euodice cantans	
Indian Silverbill	Euodice malabarica	
Scaly-breasted Munia	Lonchura punctulata	Introduced species
Arabian Waxbill	Estrilda rufibarba	
Orange-breasted Waxbill	Amandava subflava	
Red Avadavat	Amandava amandava	Introduced species
 
PASSERIFORMES: Motacillidae

Western Yellow Wagtail	Motacilla flava	
Citrine Wagtail	Motacilla citreola	
Grey Wagtail	Motacilla cinerea	
White Wagtail	Motacilla alba	
Richard's Pipit	Anthus richardi	
African Pipit	Anthus cinnamomeus	
Tawny Pipit	Anthus campestris	
Long-billed Pipit	Anthus similis	
Meadow Pipit	Anthus pratensis	
Tree Pipit	Anthus trivialis	
Olive-backed Pipit	Anthus hodgsoni	Rare/Accidental
Red-throated Pipit	Anthus cervinus	
Water Pipit	Anthus spinoletta	
 
PASSERIFORMES: Fringillidae

Common Chaffinch	Fringilla coelebs	
Brambling	Fringilla montifringilla	Rare/Accidental
Hawfinch	Coccothraustes coccothraustes	Rare/Accidental
Trumpeter Finch	Bucanetes githagineus	
Mongolian Finch	Bucanetes mongolicus	Rare/Accidental
Common Rosefinch	Carpodacus erythrinus	
Sinai Rosefinch	Carpodacus synoicus	
European Greenfinch	Chloris chloris	
Desert Finch	Rhodospiza obsoleta	
Arabian Golden-winged Grosbeak	Rhynchostruthus percivali	
Arabian Serin	Crithagra rothschildi	
Yemen Serin	Crithagra menachensis	
Common Linnet	Linaria cannabina	
Yemen Linnet	Linaria yemenensis	
European Goldfinch	Carduelis carduelis	
Red-fronted Serin	Serinus pusillus	Rare/Accidental
Syrian Serin	Serinus syriacus	Rare/Accidental
Eurasian Siskin	Spinus spinus	
 
PASSERIFORMES: Emberizidae

Corn Bunting	Emberiza calandra	
Pine Bunting	Emberiza leucocephalos	Rare/Accidental
Rock Bunting	Emberiza cia	Rare/Accidental
Cinereous Bunting	Emberiza cineracea	
Ortolan Bunting	Emberiza hortulana	
Cretzschmar's Bunting	Emberiza caesia	
Striolated Bunting	Emberiza striolata	
Cinnamon-breasted Bunting	Emberiza tahapisi	
Little Bunting	Emberiza pusilla	Rare/Accidental
Rustic Bunting	Emberiza rustica	Rare/Accidental
Yellow-breasted Bunting	Emberiza aureola	Rare/Accidental
Black-headed Bunting	Emberiza melanocephala	
