ANSERIFORMES: Anatidae

Lucy's Warbler,Leiothlypis luciae,Rare
Common Yellowthroat,Geothlypis trichas,Rare
American Redstart,Setophaga ruticilla,Rare
Tropical Parula,Setophaga pitiayumi,
American Yellow Warbler,Setophaga aestiva,
Mangrove Warbler,Setophaga petechia,Rare
Blackpoll Warbler,Setophaga striata,Rare
Palm Warbler,Setophaga palmarum,Rare
Myrtle Warbler,Setophaga coronata,
Audubon's Warbler,Setophaga auduboni,
Townsend's Warbler,Setophaga townsendi,Rare
Black-throated Green Warbler,Setophaga virens,Rare
Wilson's Warbler,Cardellina pusilla,Rare
 
PASSERIFORMES: Cardinalidae

Summer Tanager,Piranga rubra,Rare
Western Tanager,Piranga ludoviciana,
Rose-breasted Grosbeak,Pheucticus ludovicianus,Rare
Dickcissel,Spiza americana,
Indigo Bunting,Passerina cyanea,Rare
