
 
ANSERIFORMES: Anatidae

Mandarin Duck	Aix galericulata	Uncertain origin
ACCIPITRIFORMES: Pandionidae

Osprey	Pandion haliaetus	
 
ACCIPITRIFORMES: Accipitridae

Bearded Vulture	Gypaetus barbatus	Near-threatened
Egyptian Vulture	Neophron percnopterus	Rare/Accidental Endangered
European Honey Buzzard	Pernis apivorus	
Cinereous Vulture	Aegypius monachus	Near-threatened
Griffon Vulture	Gyps fulvus	
Short-toed Snake Eagle	Circaetus gallicus	
Greater Spotted Eagle	Clanga clanga	Rare/Accidental Vulnerable
Booted Eagle	Hieraaetus pennatus	
Golden Eagle	Aquila chrysaetos	
Eurasian Sparrowhawk	Accipiter nisus	
Eurasian Goshawk	Astur gentilis	
Montagu's Harrier	Circus pygargus	
Western Marsh Harrier	Circus aeruginosus	
Red Kite	Milvus milvus	
Black Kite	Milvus migrans	
Common Buzzard	Buteo buteo	
 
BUCEROTIFORMES: Upupidae

Common Hoopoe	Upupa epops	
 
CORACIIFORMES: Coraciidae

European Roller	Coracias garrulus	
 
CORACIIFORMES: Meropidae

European Bee-eater	Merops apiaster	
 
CORACIIFORMES: Alcedinidae

Common Kingfisher	Alcedo atthis	
 
PICIFORMES: Picidae

Eurasian Wryneck	Jynx torquilla	
Iberian Green Woodpecker	Picus sharpei	
Black Woodpecker	Dryocopus martius	
Great Spotted Woodpecker	Dendrocopos major	
Lesser Spotted Woodpecker	Dryobates minor	Rare/Accidental
 
FALCONIFORMES: Falconidae

Common Kestrel	Falco tinnunculus	
Merlin	Falco columbarius	
Eurasian Hobby	Falco subbuteo	Rare/Accidental
Peregrine Falcon	Falco peregrinus	
 
PASSERIFORMES: Oriolidae

Eurasian Golden Oriole	Oriolus oriolus	
 
PASSERIFORMES: Laniidae

Great Grey Shrike	Lanius excubitor	
Iberian Grey Shrike	Lanius meridionalis	Vulnerable
Lesser Grey Shrike	Lanius minor	
Woodchat Shrike	Lanius senator	Rare/Accidental Near-threatened
Red-backed Shrike	Lanius collurio	
 
PASSERIFORMES: Corvidae

Alpine Chough	Pyrrhocorax graculus	
Red-billed Chough	Pyrrhocorax pyrrhocorax	
Eurasian Jay	Garrulus glandarius	
Eurasian Magpie	Pica pica	
Western Jackdaw	Coloeus monedula	Rare/Accidental
Rook	Corvus frugilegus	
Northern Raven	Corvus corax	
Carrion Crow	Corvus corone	
 
PASSERIFORMES: Paridae

Eurasian Blue Tit	Cyanistes caeruleus	
Great Tit	Parus major	
Coal Tit	Periparus ater	
Crested Tit	Lophophanes cristatus	
Marsh Tit	Poecile palustris	
 
PASSERIFORMES: Alaudidae

Woodlark	Lullula arborea	
Eurasian Skylark	Alauda arvensis	
Thekla's Lark	Galerida theklae	
Crested Lark	Galerida cristata	
 
PASSERIFORMES: Acrocephalidae

Melodious Warbler	Hippolais polyglotta	
Sedge Warbler	Acrocephalus schoenobaenus	Rare/Accidental
Common Reed Warbler	Acrocephalus scirpaceus	Rare/Accidental
 
PASSERIFORMES: Hirundinidae

Sand Martin	Riparia riparia	
Eurasian Crag Martin	Ptyonoprogne rupestris	
Barn Swallow	Hirundo rustica	
Western House Martin	Delichon urbicum	
 
PASSERIFORMES: Aegithalidae

Long-tailed Tit	Aegithalos caudatus	
 
PASSERIFORMES: Phylloscopidae

Wood Warbler	Phylloscopus sibilatrix	
Western Bonelli's Warbler	Phylloscopus bonelli	
Willow Warbler	Phylloscopus trochilus	
Iberian Chiffchaff	Phylloscopus ibericus	
Common Chiffchaff	Phylloscopus collybita	
 
PASSERIFORMES: Sylviidae

Garden Warbler	Sylvia borin	
Eurasian Blackcap	Sylvia atricapilla	
Western Orphean Warbler	Curruca hortensis	
Common Whitethroat	Curruca communis	
Dartford Warbler	Curruca undata	Near-threatened
Sardinian Warbler	Curruca melanocephala	Rare/Accidental
Western Subalpine Warbler	Curruca iberiae	
Eastern Subalpine Warbler	Curruca cantillans	Rare/Accidental
 
PASSERIFORMES: Regulidae

Common Firecrest	Regulus ignicapilla	
Goldcrest	Regulus regulus	
 
PASSERIFORMES: Tichodromidae

Wallcreeper	Tichodroma muraria	
 
PASSERIFORMES: Sittidae

Eurasian Nuthatch	Sitta europaea	
 
PASSERIFORMES: Certhiidae

Eurasian Treecreeper	Certhia familiaris	
Short-toed Treecreeper	Certhia brachydactyla	
 
PASSERIFORMES: Troglodytidae

Eurasian Wren	Troglodytes troglodytes	
 
PASSERIFORMES: Sturnidae

Common Starling	Sturnus vulgaris	
 
PASSERIFORMES: Cinclidae

White-throated Dipper	Cinclus cinclus	
 
PASSERIFORMES: Turdidae

Mistle Thrush	Turdus viscivorus	
Song Thrush	Turdus philomelos	
Redwing	Turdus iliacus	Near-threatened
Common Blackbird	Turdus merula	
Fieldfare	Turdus pilaris	
Ring Ouzel	Turdus torquatus	
 
PASSERIFORMES: Muscicapidae

Spotted Flycatcher	Muscicapa striata	
European Robin	Erithacus rubecula	
Common Nightingale	Luscinia megarhynchos	
European Pied Flycatcher	Ficedula hypoleuca	
Black Redstart	Phoenicurus ochruros	
Common Redstart	Phoenicurus phoenicurus	
Common Rock Thrush	Monticola saxatilis	
Blue Rock Thrush	Monticola solitarius	
Whinchat	Saxicola rubetra	
European Stonechat	Saxicola rubicola	
Western Black-eared Wheatear	Oenanthe hispanica	
Northern Wheatear	Oenanthe oenanthe	
 
PASSERIFORMES: Prunellidae

Alpine Accentor	Prunella collaris	
Dunnock	Prunella modularis	
 
PASSERIFORMES: Passeridae

Rock Sparrow	Petronia petronia	
White-winged Snowfinch	Montifringilla nivalis	
Eurasian Tree Sparrow	Passer montanus	
House Sparrow	Passer domesticus	
 
PASSERIFORMES: Motacillidae

Grey Wagtail	Motacilla cinerea	
Western Yellow Wagtail	Motacilla flava	
White Wagtail	Motacilla alba	
Tawny Pipit	Anthus campestris	
Tree Pipit	Anthus trivialis	
Meadow Pipit	Anthus pratensis	
Water Pipit	Anthus spinoletta	
 
PASSERIFORMES: Fringillidae

Brambling	Fringilla montifringilla	
Eurasian Chaffinch	Fringilla coelebs	
Hawfinch	Coccothraustes coccothraustes	
Eurasian Bullfinch	Pyrrhula pyrrhula	
European Greenfinch	Chloris chloris	
Common Linnet	Linaria cannabina	
Red Crossbill	Loxia curvirostra	
Citril Finch	Carduelis citrinella	
European Goldfinch	Carduelis carduelis	
European Serin	Serinus serinus	
Eurasian Siskin	Spinus spinus	Rare/Accidental
 
PASSERIFORMES: Emberizidae

Corn Bunting	Emberiza calandra	
Rock Bunting	Emberiza cia	
Ortolan Bunting	Emberiza hortulana	
Cirl Bunting	Emberiza cirlus	
Yellowhammer	Emberiza citrinella	
