
 
ANSERIFORMES: Anatidae

Lesser Whistling Duck	Dendrocygna javanica	Extirpated
Bridled Tern	Onychoprion anaethetus	
Little Tern	Sternula albifrons	
Gull-billed Tern	Gelochelidon nilotica	Rare/Accidental
Caspian Tern	Hydroprogne caspia	Rare/Accidental
Whiskered Tern	Chlidonias hybrida	
White-winged Tern	Chlidonias leucopterus	
Common Tern	Sterna hirundo	
Black-naped Tern	Sterna sumatrana	
Roseate Tern	Sterna dougallii	
Greater Crested Tern	Thalasseus bergii	
Black-legged Kittiwake	Rissa tridactyla	Rare/Accidental
Saunders's Gull	Saundersilarus saundersi	
Silver Gull	Chroicocephalus novaehollandiae	Rare/Accidental
Black-headed Gull	Chroicocephalus ridibundus	
Black-tailed Gull	Larus crassirostris	
Vega Gull	Larus vegae	Rare/Accidental
Slaty-backed Gull	Larus schistisagus	
 
CHARADRIIFORMES: Stercorariidae

Long-tailed Jaeger	Stercorarius longicaudus	Rare/Accidental
Parasitic Jaeger	Stercorarius parasiticus	
Pomarine Jaeger	Stercorarius pomarinus	Rare/Accidental
 
CHARADRIIFORMES: Alcidae

Ancient Murrelet	Synthliboramphus antiquus	Rare/Accidental
Japanese Murrelet	Synthliboramphus wumizusume	Rare/Accidental
 
PHAETHONTIFORMES: Phaethontidae

Red-tailed Tropicbird	Phaethon rubricauda	
 
PROCELLARIIFORMES: Diomedeidae

Black-footed Albatross	Phoebastria nigripes	
Short-tailed Albatross	Phoebastria albatrus	
 
PROCELLARIIFORMES: Hydrobatidae

Swinhoe's Storm Petrel	Hydrobates monorhis	Rare/Accidental
 
PROCELLARIIFORMES: Procellariidae

Bonin Petrel	Pterodroma hypoleuca	Rare/Accidental
Streaked Shearwater	Calonectris leucomelas	
Wedge-tailed Shearwater	Ardenna pacifica	
Bannerman's Shearwater	Puffinus bannermani	
Bulwer's Petrel	Bulweria bulwerii	
 
CICONIIFORMES: Ciconiidae

Black Stork	Ciconia nigra	Rare/Accidental
Oriental Stork	Ciconia boyciana	
 
SULIFORMES: Fregatidae

Lesser Frigatebird	Fregata ariel	
Great Frigatebird	Fregata minor	Rare/Accidental
 
SULIFORMES: Sulidae

Red-footed Booby	Sula sula	Rare/Accidental
Brown Booby	Sula leucogaster	
Masked Booby	Sula dactylatra	
 
SULIFORMES: Phalacrocoracidae

Japanese Cormorant	Phalacrocorax capillatus	
Great Cormorant	Phalacrocorax carbo	
 
PELECANIFORMES: Threskiornithidae

Black-headed Ibis	Threskiornis melanocephalus	Rare/Accidental
Glossy Ibis	Plegadis falcinellus	Rare/Accidental
Eurasian Spoonbill	Platalea leucorodia	
Black-faced Spoonbill	Platalea minor	
 
PELECANIFORMES: Ardeidae

Eurasian Bittern	Botaurus stellaris	
Cinnamon Bittern	Ixobrychus cinnamomeus	
Von Schrenck's Bittern	Ixobrychus eurhythmus	
Yellow Bittern	Ixobrychus sinensis	
Black-crowned Night Heron	Nycticorax nycticorax	
Malayan Night Heron	Gorsachius melanolophus	
Japanese Night Heron	Gorsachius goisagi	
Pacific Reef Heron	Egretta sacra	
Chinese Egret	Egretta eulophotes	Rare/Accidental
Little Egret	Egretta garzetta	
Striated Heron	Butorides striata	
Chinese Pond Heron	Ardeola bacchus	
Javan Pond Heron	Ardeola speciosa	Rare/Accidental
Eastern Cattle Egret	Bubulcus coromandus	
Great Egret	Ardea alba	
Medium Egret	Ardea intermedia	
Grey Heron	Ardea cinerea	
Purple Heron	Ardea purpurea	
 
PELECANIFORMES: Pelecanidae

Great White Pelican	Pelecanus onocrotalus	Rare/Accidental
Dalmatian Pelican	Pelecanus crispus	Rare/Accidental
 
ACCIPITRIFORMES: Pandionidae

Osprey	Pandion haliaetus	
 
ACCIPITRIFORMES: Accipitridae

Black-winged Kite	Elanus caeruleus	Rare/Accidental
Crested Honey Buzzard	Pernis ptilorhynchus	Rare/Accidental
Crested Serpent Eagle	Spilornis cheela	
Eastern Imperial Eagle	Aquila heliaca	Rare/Accidental
Chinese Sparrowhawk	Accipiter soloensis	
Japanese Sparrowhawk	Accipiter gularis	
Besra	Accipiter virgatus	
Eurasian Sparrowhawk	Accipiter nisus	
Eurasian Goshawk	Accipiter gentilis	
Eastern Marsh Harrier	Circus spilonotus	
Hen Harrier	Circus cyaneus	
Pied Harrier	Circus melanoleucos	Rare/Accidental
Black Kite	Milvus migrans	
Brahminy Kite	Haliastur indus	Rare/Accidental
Grey-faced Buzzard	Butastur indicus	
Rough-legged Buzzard	Buteo lagopus	Rare/Accidental
Upland Buzzard	Buteo hemilasius	Rare/Accidental
Eastern Buzzard	Buteo japonicus	
 
STRIGIFORMES: Strigidae

Northern Boobook	Ninox japonica	
Oriental Scops Owl	Otus sunia	
Ryukyu Scops Owl	Otus elegans	
Japanese Scops Owl	Otus semitorques	
Long-eared Owl	Asio otus	
Short-eared Owl	Asio flammeus	
 
BUCEROTIFORMES: Upupidae

Eurasian Hoopoe	Upupa epops	
 
CORACIIFORMES: Coraciidae

Oriental Dollarbird	Eurystomus orientalis	
 
CORACIIFORMES: Alcedinidae

Ruddy Kingfisher	Halcyon coromanda	
White-throated Kingfisher	Halcyon smyrnensis	Rare/Accidental
Collared Kingfisher	Todiramphus chloris	Rare/Accidental
Common Kingfisher	Alcedo atthis	
 
PICIFORMES: Picidae

Japanese Pygmy Woodpecker	Yungipicus kizuki	
 
FALCONIFORMES: Falconidae

Common Kestrel	Falco tinnunculus	
Merlin	Falco columbarius	
Eurasian Hobby	Falco subbuteo	
Peregrine Falcon	Falco peregrinus	
 
PASSERIFORMES: Pittidae

Western Hooded Pitta	Pitta sordida	Rare/Accidental
 
PASSERIFORMES: Campephagidae

Ashy Minivet	Pericrocotus divaricatus	
Ryukyu Minivet	Pericrocotus tegimae	Endemic (country/region)
Black-winged Cuckooshrike	Lalage melaschistos	Rare/Accidental
 
PASSERIFORMES: Dicruridae

Black Drongo	Dicrurus macrocercus	Rare/Accidental
 
PASSERIFORMES: Monarchidae

Black Paradise Flycatcher	Terpsiphone atrocaudata	
 
PASSERIFORMES: Laniidae

Tiger Shrike	Lanius tigrinus	Rare/Accidental
Brown Shrike	Lanius cristatus	
Bull-headed Shrike	Lanius bucephalus	
 
PASSERIFORMES: Corvidae

Daurian Jackdaw	Coloeus dauuricus	
Carrion Crow	Corvus corone	
Large-billed Crow	Corvus macrorhynchos	
 
PASSERIFORMES: Paridae

Varied Tit	Sittiparus varius	
Iriomote Tit	Sittiparus olivaceus	Endemic (country/region)
Japanese Tit	Parus minor	
 
PASSERIFORMES: Alaudidae

Eurasian Skylark	Alauda arvensis	
 
PASSERIFORMES: Pycnonotidae

Brown-eared Bulbul	Hypsipetes amaurotis	
Light-vented Bulbul	Pycnonotus sinensis	
 
PASSERIFORMES: Hirundinidae

Sand Martin	Riparia riparia	
Pacific Swallow	Hirundo tahitica	
Barn Swallow	Hirundo rustica	
Asian House Martin	Delichon dasypus	
Red-rumped Swallow	Cecropis daurica	
 
PASSERIFORMES: Cettiidae

Japanese Bush Warbler	Horornis diphone	
Manchurian Bush Warbler	Horornis canturians	
Asian Stubtail	Urosphena squameiceps	
 
PASSERIFORMES: Phylloscopidae

Yellow-browed Warbler	Phylloscopus inornatus	
Dusky Warbler	Phylloscopus fuscatus	Rare/Accidental
Eastern Crowned Warbler	Phylloscopus coronatus	
Ijima's Leaf Warbler	Phylloscopus ijimae	
Japanese Leaf Warbler	Phylloscopus xanthodryas	Endemic (country/region)
Arctic Warbler	Phylloscopus borealis	Rare/Accidental
 
PASSERIFORMES: Acrocephalidae

Oriental Reed Warbler	Acrocephalus orientalis	
 
PASSERIFORMES: Locustellidae

Sakhalin Grasshopper Warbler	Helopsaltes amnicola	
Middendorff's Grasshopper Warbler	Helopsaltes ochotensis	
Lanceolated Warbler	Locustella lanceolata	Rare/Accidental
 
PASSERIFORMES: Cisticolidae

Zitting Cisticola	Cisticola juncidis	
 
PASSERIFORMES: Zosteropidae

Warbling White-eye	Zosterops japonicus	
 
PASSERIFORMES: Regulidae

Goldcrest	Regulus regulus	
 
PASSERIFORMES: Sturnidae

Asian Glossy Starling	Aplonis panayensis	Rare/Accidental
Common Myna	Acridotheres tristis	Introduced species
Red-billed Starling	Spodiopsar sericeus	Rare/Accidental
White-cheeked Starling	Spodiopsar cineraceus	
Daurian Starling	Agropsar sturninus	Rare/Accidental
Chestnut-cheeked Starling	Agropsar philippensis	
White-shouldered Starling	Sturnia sinensis	
Rosy Starling	Pastor roseus	Rare/Accidental
Common Starling	Sturnus vulgaris	
 
PASSERIFORMES: Turdidae

White's Thrush	Zoothera aurea	
Chinese Thrush	Turdus mupinensis	Rare/Accidental
Chinese Blackbird	Turdus mandarinus	Rare/Accidental
Japanese Thrush	Turdus cardis	
Eyebrowed Thrush	Turdus obscurus	
Pale Thrush	Turdus pallidus	
Brown-headed Thrush	Turdus chrysolaus	
Black-throated Thrush	Turdus atrogularis	Rare/Accidental
Dusky Thrush	Turdus eunomus	
Naumann's Thrush	Turdus naumanni	Rare/Accidental
 
PASSERIFORMES: Muscicapidae

Grey-streaked Flycatcher	Muscicapa griseisticta	
Ferruginous Flycatcher	Muscicapa ferruginea	Rare/Accidental
Asian Brown Flycatcher	Muscicapa dauurica	
Verditer Flycatcher	Eumyias thalassinus	Rare/Accidental
Siberian Rubythroat	Calliope calliope	
Ryukyu Robin	Larvivora komadori	
Okinawa Robin	Larvivora namiyei	Endemic (country/region)
Narcissus Flycatcher	Ficedula narcissina	
Ryukyu Flycatcher	Ficedula owstoni	Endemic (country/region)
Red-breasted Flycatcher	Ficedula parva	Rare/Accidental
Taiga Flycatcher	Ficedula albicilla	
Red-flanked Bluetail	Tarsiger cyanurus	
Blue-fronted Redstart	Phoenicurus frontalis	Rare/Accidental
Daurian Redstart	Phoenicurus auroreus	
Blue Rock Thrush	Monticola solitarius	
Amur Stonechat	Saxicola stejnegeri	
 
PASSERIFORMES: Passeridae

Eurasian Tree Sparrow	Passer montanus	
 
PASSERIFORMES: Estrildidae

Scaly-breasted Munia	Lonchura punctulata	Introduced species
 
PASSERIFORMES: Motacillidae

Forest Wagtail	Dendronanthus indicus	
Eastern Yellow Wagtail	Motacilla tschutschensis	
Citrine Wagtail	Motacilla citreola	Rare/Accidental
Grey Wagtail	Motacilla cinerea	
White Wagtail	Motacilla alba	
Richard's Pipit	Anthus richardi	
Olive-backed Pipit	Anthus hodgsoni	
Pechora Pipit	Anthus gustavi	Rare/Accidental
Red-throated Pipit	Anthus cervinus	
Buff-bellied Pipit	Anthus rubescens	
 
PASSERIFORMES: Fringillidae

Brambling	Fringilla montifringilla	
Hawfinch	Coccothraustes coccothraustes	
Japanese Grosbeak	Eophona personata	
Pallas's Rosefinch	Carpodacus roseus	Rare/Accidental
Grey-capped Greenfinch	Chloris sinica	
Eurasian Siskin	Spinus spinus	
 
PASSERIFORMES: Emberizidae

Chestnut-eared Bunting	Emberiza fucata	
Little Bunting	Emberiza pusilla	Rare/Accidental
Yellow Bunting	Emberiza sulphurata	
Black-faced Bunting	Emberiza spodocephala	
Masked Bunting	Emberiza personata	
Grey Bunting	Emberiza variabilis	
