
 
STRUTHIONIFORMES: Struthionidae

Common Ostrich	Struthio camelus	Extirpated
White-headed Vulture	Trigonoceps occipitalis	Critically endangered
Lappet-faced Vulture	Torgos tracheliotos	Endangered
Hooded Vulture	Necrosyrtes monachus	Critically endangered
White-backed Vulture	Gyps africanus	Critically endangered
Rüppell's Vulture	Gyps rueppelli	Critically endangered
Bateleur	Terathopius ecaudatus	Endangered
Western Banded Snake Eagle	Circaetus cinerascens	
Beaudouin's Snake Eagle	Circaetus beaudouini	Vulnerable
Brown Snake Eagle	Circaetus cinereus	
Short-toed Snake Eagle	Circaetus gallicus	
Martial Eagle	Polemaetus bellicosus	Endangered
Long-crested Eagle	Lophaetus occipitalis	
Wahlberg's Eagle	Hieraaetus wahlbergi	
Booted Eagle	Hieraaetus pennatus	
Tawny Eagle	Aquila rapax	Vulnerable
Eastern Imperial Eagle	Aquila heliaca	Rare/Accidental Vulnerable
African Hawk-Eagle	Aquila spilogaster	
Bat Hawk	Macheiramphus alcinus	
Gabar Goshawk	Micronisus gabar	
Dark Chanting Goshawk	Melierax metabates	
Lizard Buzzard	Kaupifalco monogrammicus	
African Goshawk	Aerospiza tachiro	
Red-thighed Sparrowhawk	Tachyspiza erythropus	
Shikra	Tachyspiza badia	
Ovambo Sparrowhawk	Accipiter ovampensis	
Pallid Harrier	Circus macrourus	Near-threatened
Montagu's Harrier	Circus pygargus	
Western Marsh Harrier	Circus aeruginosus	
Black Kite	Milvus migrans	
African Fish Eagle	Icthyophaga vocifer	
Grasshopper Buzzard	Butastur rufipennis	
Red-necked Buzzard	Buteo auguralis	
Long-legged Buzzard	Buteo rufinus	
 
COLIIFORMES: Coliidae

Blue-naped Mousebird	Urocolius macrourus	
 
TROGONIFORMES: Trogonidae

Narina Trogon	Apaloderma narina	
 
BUCEROTIFORMES: Upupidae

Common Hoopoe	Upupa epops	
 
BUCEROTIFORMES: Phoeniculidae

Black Scimitarbill	Rhinopomastus aterrimus	
Green Wood Hoopoe	Phoeniculus purpureus	
 
BUCEROTIFORMES: Bucerotidae

Abyssinian Ground Hornbill	Bucorvus abyssinicus	Vulnerable
West African Pied Hornbill	Lophoceros semifasciatus	Rare/Accidental
African Grey Hornbill	Lophoceros nasutus	
Western Red-billed Hornbill	Tockus kempi	
Northern Red-billed Hornbill	Tockus erythrorhynchus	
 
CORACIIFORMES: Coraciidae

Broad-billed Roller	Eurystomus glaucurus	
Blue-bellied Roller	Coracias cyanogaster	
Purple Roller	Coracias naevius	
Abyssinian Roller	Coracias abyssinicus	
European Roller	Coracias garrulus	
 
CORACIIFORMES: Meropidae

Red-throated Bee-eater	Merops bulocki	
Little Bee-eater	Merops pusillus	
Swallow-tailed Bee-eater	Merops hirundineus	
White-throated Bee-eater	Merops albicollis	
Northern Carmine Bee-eater	Merops nubicus	
African Green Bee-eater	Merops viridissimus	
European Bee-eater	Merops apiaster	
Blue-cheeked Bee-eater	Merops persicus	
 
CORACIIFORMES: Alcedinidae

African Pygmy Kingfisher	Ispidina picta	
Malachite Kingfisher	Corythornis cristatus	
Shining-blue Kingfisher	Alcedo quadribrachys	
Giant Kingfisher	Megaceryle maxima	
Pied Kingfisher	Ceryle rudis	
Blue-breasted Kingfisher	Halcyon malimbica	
Woodland Kingfisher	Halcyon senegalensis	
Striped Kingfisher	Halcyon chelicuti	
Grey-headed Kingfisher	Halcyon leucocephala	
 
PICIFORMES: Lybiidae

Yellow-breasted Barbet	Trachyphonus margaritatus	
Yellow-fronted Tinkerbird	Pogoniulus chrysoconus	
Bearded Barbet	Pogonornis dubius	
Vieillot's Barbet	Lybius vieilloti	
 
PICIFORMES: Indicatoridae

Brown-backed Honeybird	Prodotiscus regulus	Rare/Accidental
Lesser Honeyguide	Indicator minor	
Greater Honeyguide	Indicator indicator	
 
PICIFORMES: Picidae

Eurasian Wryneck	Jynx torquilla	
Fine-spotted Woodpecker	Campethera punctuligera	
Brown-backed Woodpecker	Dendropicos obsoletus	
African Grey Woodpecker	Dendropicos goertae	
Cardinal Woodpecker	Dendropicos fuscescens	
 
FALCONIFORMES: Falconidae

Lesser Kestrel	Falco naumanni	
Fox Kestrel	Falco alopex	
Common Kestrel	Falco tinnunculus	
Red-footed Falcon	Falco vespertinus	Vulnerable
Grey Kestrel	Falco ardosiaceus	
Eleonora's Falcon	Falco eleonorae	
African Hobby	Falco cuvierii	
Eurasian Hobby	Falco subbuteo	
Red-necked Falcon	Falco chicquera	
Peregrine Falcon	Falco peregrinus	
Lanner Falcon	Falco biarmicus	
 
PSITTACIFORMES: Psittacidae

Senegal Parrot	Poicephalus senegalus	
 
PSITTACIFORMES: Psittaculidae

Rose-ringed Parakeet	Psittacula krameri	
 
PASSERIFORMES: Campephagidae

White-breasted Cuckooshrike	Ceblepyris pectoralis	Rare/Accidental
Red-shouldered Cuckooshrike	Campephaga phoenicea	
 
PASSERIFORMES: Malaconotidae

Brubru	Nilaus afer	
Black-crowned Tchagra	Tchagra senegalus	
Brown-crowned Tchagra	Tchagra australis	
Fiery-breasted Bushshrike	Malaconotus cruentus	
Grey-headed Bushshrike	Malaconotus blanchoti	
Northern Puffback	Dryoscopus gambensis	
Orange-breasted Bushshrike	Chlorophoneus sulfureopectus	
Many-colored Bushshrike	Chlorophoneus multicolor	
Yellow-crowned Gonolek	Laniarius barbarus	
 
PASSERIFORMES: Platysteiridae

Brown-throated Wattle-eye	Platysteira cyanea	
Senegal Batis	Batis senegalensis	
 
PASSERIFORMES: Vangidae

White-crested Helmetshrike	Prionops plumatus	
Red-billed Helmetshrike	Prionops caniceps	
African Shrike-flycatcher	Megabyas flammulatus	
 
PASSERIFORMES: Oriolidae

African Golden Oriole	Oriolus auratus	
Eurasian Golden Oriole	Oriolus oriolus	
 
PASSERIFORMES: Dicruridae

Shining Drongo	Dicrurus atripennis	
Sharpe's Drongo	Dicrurus sharpei	
Fork-tailed Drongo	Dicrurus adsimilis	
 
PASSERIFORMES: Monarchidae

Red-bellied Paradise Flycatcher	Terpsiphone rufiventer	
African Paradise Flycatcher	Terpsiphone viridis	
 
PASSERIFORMES: Laniidae

Yellow-billed Shrike	Corvinella corvina	
Great Grey Shrike	Lanius excubitor	
Woodchat Shrike	Lanius senator	Near-threatened
Emin's Shrike	Lanius gubernator	
Northern Fiscal	Lanius humeralis	
Isabelline Shrike	Lanius isabellinus	Rare/Accidental
Red-tailed Shrike	Lanius phoenicuroides	
 
PASSERIFORMES: Corvidae

Piapiac	Ptilostomus afer	
Brown-necked Raven	Corvus ruficollis	
Pied Crow	Corvus albus	
 
PASSERIFORMES: Stenostiridae

African Blue Flycatcher	Elminia longicauda	
 
PASSERIFORMES: Hyliotidae

Yellow-bellied Hyliota	Hyliota flavigaster	
 
PASSERIFORMES: Remizidae

Sennar Penduline Tit	Anthoscopus punctifrons	
Yellow Penduline Tit	Anthoscopus parvulus	
 
PASSERIFORMES: Paridae

White-shouldered Black Tit	Melaniparus guineensis	
 
PASSERIFORMES: Alaudidae

Rufous-rumped Lark	Pinarocorys erythropygia	
Desert Lark	Ammomanes deserti	
Black-crowned Sparrow-Lark	Eremopterix nigriceps	
Chestnut-backed Sparrow-Lark	Eremopterix leucotis	
Kordofan Lark	Mirafra cordofanica	
Singing Bush Lark	Mirafra javanica	
Flappet Lark	Amirafra rufocinnamomea	
Sun Lark	Galerida modesta	
Crested Lark	Galerida cristata	
Greater Short-toed Lark	Calandrella brachydactyla	
 
PASSERIFORMES: Nicatoridae

Western Nicator	Nicator chloris	
 
PASSERIFORMES: Macrosphenidae

Moustached Grass Warbler	Melocichla mentalis	
Northern Crombec	Sylvietta brachyura	
 
PASSERIFORMES: Cisticolidae

Yellow-bellied Eremomela	Eremomela icteropygialis	
Senegal Eremomela	Eremomela pusilla	
Bleating Camaroptera	Camaroptera brachyura	
Cricket Warbler	Spiloptila clamans	
Yellow-breasted Apalis	Apalis flavida	
Tawny-flanked Prinia	Prinia subflava	
Red-winged Prinia	Prinia erythroptera	
Red-fronted Prinia	Prinia rufifrons	
Oriole Warbler	Hypergerus atriceps	
Red-faced Cisticola	Cisticola erythrops	
Singing Cisticola	Cisticola cantans	
Whistling Cisticola	Cisticola lateralis	
Rock-loving Cisticola	Cisticola aberrans	
Dorst's Cisticola	Cisticola guinea	
Winding Cisticola	Cisticola marginatus	
Croaking Cisticola	Cisticola natalensis	
Short-winged Cisticola	Cisticola brachypterus	
Rufous Cisticola	Cisticola rufus	
Zitting Cisticola	Cisticola juncidis	
Desert Cisticola	Cisticola aridulus	
Black-backed Cisticola	Cisticola eximius	
 
PASSERIFORMES: Acrocephalidae

Melodious Warbler	Hippolais polyglotta	
Eastern Olivaceous Warbler	Iduna pallida	
Western Olivaceous Warbler	Iduna opaca	
Sedge Warbler	Acrocephalus schoenobaenus	
Common Reed Warbler	Acrocephalus scirpaceus	
Great Reed Warbler	Acrocephalus arundinaceus	Rare/Accidental
 
PASSERIFORMES: Hirundinidae

Fanti Saw-wing	Psalidoprocne obscura	
Grey-rumped Swallow	Pseudhirundo griseopyga	
Banded Martin	Neophedina cincta	Rare/Accidental
Sand Martin	Riparia riparia	
Brown-throated Martin	Riparia paludicola	
Red-throated Rock Martin	Ptyonoprogne rufigula	
Pied-winged Swallow	Hirundo leucosoma	
Wire-tailed Swallow	Hirundo smithii	
Barn Swallow	Hirundo rustica	
Ethiopian Swallow	Hirundo aethiopica	
Red-chested Swallow	Hirundo lucida	
Western House Martin	Delichon urbicum	
Lesser Striped Swallow	Cecropis abyssinica	
Red-breasted Swallow	Cecropis semirufa	
Mosque Swallow	Cecropis senegalensis	
African Red-rumped Swallow	Cecropis melanocrissus	Rare/Accidental
Preuss's Cliff Swallow	Petrochelidon preussi	
 
PASSERIFORMES: Hyliidae

Green Hylia	Hylia prasina	
 
PASSERIFORMES: Phylloscopidae

Wood Warbler	Phylloscopus sibilatrix	
Western Bonelli's Warbler	Phylloscopus bonelli	
Willow Warbler	Phylloscopus trochilus	
Iberian Chiffchaff	Phylloscopus ibericus	Rare/Accidental
Common Chiffchaff	Phylloscopus collybita	
 
PASSERIFORMES: Pycnonotidae

Yellow-gorgeted Greenbul	Atimastillas flavicollis	
Common Bulbul	Pycnonotus barbatus	
 
PASSERIFORMES: Sylviidae

Garden Warbler	Sylvia borin	
Eurasian Blackcap	Sylvia atricapilla	
Western Orphean Warbler	Curruca hortensis	
Common Whitethroat	Curruca communis	
Moltoni's Warbler	Curruca subalpina	
Western Subalpine Warbler	Curruca iberiae	
Eastern Subalpine Warbler	Curruca cantillans	
 
PASSERIFORMES: Zosteropidae

Northern Yellow White-eye	Zosterops senegalensis	
 
PASSERIFORMES: Leiothrichidae

Fulvous Babbler	Argya fulva	Rare/Accidental
Brown Babbler	Turdoides plebejus	
Blackcap Babbler	Turdoides reinwardtii	
 
PASSERIFORMES: Salpornithidae

African Spotted Creeper	Salpornis salvadori	
 
PASSERIFORMES: Buphagidae

Yellow-billed Oxpecker	Buphagus africanus	
 
PASSERIFORMES: Sturnidae

Violet-backed Starling	Cinnyricinclus leucogaster	
Neumann's Starling	Onychognathus neumanni	
Narrow-tailed Starling	Poeoptera lugubris	
Long-tailed Glossy Starling	Lamprotornis caudatus	
Lesser Blue-eared Starling	Lamprotornis chloropterus	
Greater Blue-eared Starling	Lamprotornis chalybaeus	
Purple Starling	Lamprotornis purpureus	
Bronze-tailed Starling	Lamprotornis chalcurus	
Chestnut-bellied Starling	Lamprotornis pulcher	
 
PASSERIFORMES: Turdidae

African Thrush	Turdus pelios	
 
PASSERIFORMES: Muscicapidae

Forest Scrub Robin	Tychaedon leucosticta	
Black Scrub Robin	Cercotrichas podobe	
Rufous-tailed Scrub Robin	Cercotrichas galactotes	
Pale Flycatcher	Agricola pallidus	
Grey Tit-Flycatcher	Fraseria plumbea	
Ashy Flycatcher	Fraseria caerulescens	
Northern Black Flycatcher	Melaenornis edolioides	
African Dusky Flycatcher	Muscicapa adusta	
Spotted Flycatcher	Muscicapa striata	
Gambaga Flycatcher	Muscicapa gambagae	Rare/Accidental
Swamp Flycatcher	Muscicapa aquatica	
Snowy-crowned Robin-Chat	Cossypha niveicapilla	
White-crowned Robin-Chat	Cossypha albicapillus	
Common Nightingale	Luscinia megarhynchos	
Bluethroat	Luscinia svecica	
European Pied Flycatcher	Ficedula hypoleuca	
Common Redstart	Phoenicurus phoenicurus	
Common Rock Thrush	Monticola saxatilis	Rare/Accidental
Whinchat	Saxicola rubetra	
Mocking Cliff Chat	Thamnolaea cinnamomeiventris	
Anteater Chat	Myrmecocichla aethiops	
Desert Wheatear	Oenanthe deserti	Rare/Accidental
Western Black-eared Wheatear	Oenanthe hispanica	Rare/Accidental
Eastern Black-eared Wheatear	Oenanthe melanoleuca	
Atlas Wheatear	Oenanthe seebohmi	
Northern Wheatear	Oenanthe oenanthe	
Isabelline Wheatear	Oenanthe isabellina	Rare/Accidental
Heuglin's Wheatear	Oenanthe heuglinii	
White-fronted Black Chat	Oenanthe albifrons	
Blackstart	Oenanthe melanura	Rare/Accidental
Familiar Chat	Oenanthe familiaris	
 
PASSERIFORMES: Nectariniidae

Mangrove Sunbird	Anthreptes gabonicus	
Western Violet-backed Sunbird	Anthreptes longuemarei	
Collared Sunbird	Hedydipna collaris	
Pygmy Sunbird	Hedydipna platura	
Green-headed Sunbird	Cyanomitra verticalis	
Olive Sunbird	Cyanomitra olivacea	
Scarlet-chested Sunbird	Chalcomitra senegalensis	
Beautiful Sunbird	Cinnyris pulchellus	
Splendid Sunbird	Cinnyris coccinigastrus	
Johanna's Sunbird	Cinnyris johannae	
Superb Sunbird	Cinnyris superbus	
Copper Sunbird	Cinnyris cupreus	
 
PASSERIFORMES: Ploceidae

Speckle-fronted Weaver	Sporopipes frontalis	
Chestnut-crowned Sparrow-Weaver	Plocepasser superciliosus	
White-billed Buffalo Weaver	Bubalornis albirostris	
Little Weaver	Ploceus luteolus	
Olive-naped Weaver	Ploceus brachypterus	
Vitelline Masked Weaver	Ploceus vitellinus	
Heuglin's Masked Weaver	Ploceus heuglini	
Village Weaver	Ploceus cucullatus	
Black-headed Weaver	Ploceus melanocephalus	
Compact Weaver	Pachyphantes superciliosus	
Red-headed Quelea	Quelea erythrops	
Red-billed Quelea	Quelea quelea	
Northern Red Bishop	Euplectes franciscanus	
Southern Red Bishop	Euplectes orix	
Black-winged Red Bishop	Euplectes hordeaceus	
Yellow-crowned Bishop	Euplectes afer	
Yellow-mantled Widowbird	Euplectes macroura	
Fan-tailed Widowbird	Euplectes axillaris	
Red-headed Weaver	Anaplectes rubriceps	
 
PASSERIFORMES: Viduidae

Cuckoo-finch	Anomalospiza imberbis	
Togo Paradise Whydah	Vidua togoensis	
Exclamatory Paradise Whydah	Vidua interjecta	
Sahel Paradise Whydah	Vidua orientalis	
Pin-tailed Whydah	Vidua macroura	
Village Indigobird	Vidua chalybeata	
 
PASSERIFORMES: Estrildidae

Bronze Mannikin	Spermestes cucullata	
Magpie Mannikin	Spermestes fringilloides	
African Silverbill	Euodice cantans	
Grey-headed Oliveback	Delacourella capistrata	
Lavender Waxbill	Glaucestrilda caerulescens	
Orange-cheeked Waxbill	Estrilda melpoda	
Black-rumped Waxbill	Estrilda troglodytes	
Quailfinch	Ortygospiza atricollis	
Cut-throat Finch	Amadina fasciata	
Orange-breasted Waxbill	Amandava subflava	Rare/Accidental
Red-cheeked Cordon-bleu	Uraeginthus bengalus	
Crimson Seedcracker	Pyrenestes sanguineus	
Green-winged Pytilia	Pytilia melba	
Red-winged Pytilia	Pytilia phoenicoptera	
Yellow-winged Pytilia	Pytilia hypogrammica	
Red-billed Firefinch	Lagonosticta senegala	
Bar-breasted Firefinch	Lagonosticta rufopicta	
Black-bellied Firefinch	Lagonosticta rara	
Black-faced Firefinch	Lagonosticta larvata	
African Firefinch	Lagonosticta rubricata	Rare/Accidental
 
PASSERIFORMES: Passeridae

Yellow-spotted Bush Sparrow	Gymnoris pyrgita	Rare/Accidental
Sahel Bush Sparrow	Gymnoris dentata	
Northern Grey-headed Sparrow	Passer griseus	
Sudan Golden Sparrow	Passer luteus	
 
PASSERIFORMES: Motacillidae

Western Yellow Wagtail	Motacilla flava	
African Pied Wagtail	Motacilla aguimp	Rare/Accidental
White Wagtail	Motacilla alba	
Yellow-throated Longclaw	Macronyx croceus	
Tawny Pipit	Anthus campestris	
Plain-backed Pipit	Anthus leucophrys	
Tree Pipit	Anthus trivialis	
Red-throated Pipit	Anthus cervinus	
 
PASSERIFORMES: Fringillidae

White-rumped Seedeater	Crithagra leucopygia	
Yellow-fronted Canary	Crithagra mozambica	
West African Seedeater	Crithagra canicapilla	
 
PASSERIFORMES: Emberizidae

Cabanis's Bunting	Emberiza cabanisi	
Golden-breasted Bunting	Emberiza flaviventris	
Brown-rumped Bunting	Emberiza affinis	
Gosling's Bunting	Emberiza goslingi	
