Struthio molybdophanes	Somali Ostrich
Myiarchus cephalotes	Pale-edged Flycatcher
Myiarchus cinerascens	Ash-throated Flycatcher
Myiarchus nuttingi	Nutting's Flycatcher
Myiarchus crinitus	Great Crested Flycatcher
Myiarchus tyrannulus	Brown-crested Flycatcher
Myiarchus magnirostris	Galapagos Flycatcher
Myiarchus nugator	Grenada Flycatcher
Myiarchus validus	Rufous-tailed Flycatcher
Myiarchus sagrae	La Sagra's Flycatcher
Myiarchus stolidus	Stolid Flycatcher
Myiarchus antillarum	Puerto Rican Flycatcher
Myiarchus oberi	Lesser Antillean Flycatcher
Legatus leucophaius	Piratic Flycatcher
Attila phoenicurus	Rufous-tailed Attila
Attila cinnamomeus	Cinnamon Attila
Attila torridus	Ochraceous Attila
Attila citriniventris	Citron-bellied Attila
Attila bolivianus	White-eyed Attila
Attila rufus	Grey-hooded Attila
Attila spadiceus	Bright-rumped Attila
Machetornis rixosa	Cattle Tyrant
Philohydor lictor	Lesser Kiskadee
Pitangus sulphuratus	Great Kiskadee
Myiozetetes cayanensis	Rusty-margined Flycatcher
Myiozetetes similis	Social Flycatcher
Myiozetetes granadensis	Grey-capped Flycatcher
Myiozetetes luteiventris	Dusky-chested Flycatcher
Myiodynastes hemichrysus	Golden-bellied Flycatcher
Myiodynastes chrysocephalus	Golden-crowned Flycatcher
Myiodynastes bairdii	Baird's Flycatcher
Myiodynastes maculatus	Streaked Flycatcher
Myiodynastes luteiventris	Sulphur-bellied Flycatcher
Tyrannopsis sulphurea	Sulphury Flycatcher
Megarynchus pitangua	Boat-billed Flycatcher
Conopias albovittatus	White-ringed Flycatcher
Conopias parvus	Yellow-throated Flycatcher
Conopias trivirgatus	Three-striped Flycatcher
Conopias cinchoneti	Lemon-browed Flycatcher
Empidonomus varius	Variegated Flycatcher
Empidonomus aurantioatrocristatus	Crowned Slaty Flycatcher
Tyrannus savana	Fork-tailed Flycatcher
Tyrannus albogularis	White-throated Kingbird
Tyrannus melancholicus	Tropical Kingbird
Tyrannus cubensis	Giant Kingbird
Tyrannus dominicensis	Grey Kingbird
Tyrannus niveigularis	Snowy-throated Kingbird
Tyrannus caudifasciatus	Loggerhead Kingbird
Tyrannus couchii	Couch's Kingbird
Tyrannus crassirostris	Thick-billed Kingbird
Tyrannus tyrannus	Eastern Kingbird
Tyrannus vociferans	Cassin's Kingbird
Tyrannus forficatus	Scissor-tailed Flycatcher
Tyrannus verticalis	Western Kingbird
Muscigralla brevicauda	Short-tailed Field Tyrant
Myiophobus flavicans	Flavescent Flycatcher
Myiophobus phoenicomitra	Orange-crested Flycatcher
Myiophobus inornatus	Unadorned Flycatcher
Myiophobus roraimae	Roraiman Flycatcher
Myiophobus cryptoxanthus	Olive-chested Flycatcher
Myiophobus fasciatus	Bran-colored Flycatcher
Myiophobus crypterythrus	Mouse-grey Flycatcher
Myiophobus rufescens	Rufescent Flycatcher
Silvicultrix frontalis	Crowned Chat-Tyrant
Silvicultrix spodionota	Kalinowski's Chat-Tyrant
Silvicultrix jelskii	Jelski's Chat-Tyrant
Silvicultrix pulchella	Golden-browed Chat-Tyrant
Silvicultrix diadema	Yellow-bellied Chat-Tyrant
Colorhamphus parvirostris	Patagonian Tyrant
Ochthoeca salvini	Tumbes Tyrant
Ochthoeca cinnamomeiventris	Slaty-backed Chat-Tyrant
Ochthoeca nigrita	Blackish Chat-Tyrant
Ochthoeca thoracica	Maroon-belted Chat-Tyrant
Ochthoeca rufipectoralis	Rufous-breasted Chat-Tyrant
Ochthoeca fumicolor	Brown-backed Chat-Tyrant
Ochthoeca superciliosa	Rufous-browed Chat-Tyrant
Ochthoeca oenanthoides	D'Orbigny's Chat-Tyrant
Ochthoeca piurae	Piura Chat-Tyrant
Ochthoeca leucophrys	White-browed Chat-Tyrant
Phelpsia inornata	White-bearded Flycatcher
Guyramemua affine	Chapada Flycatcher
Sublegatus arenarum	Northern Scrub Flycatcher
Sublegatus obscurior	Amazonian Scrub Flycatcher
Sublegatus modestus	Southern Scrub Flycatcher
Colonia colonus	Long-tailed Tyrant
Arundinicola leucocephala	White-headed Marsh Tyrant
Fluvicola pica	Pied Water Tyrant
Fluvicola albiventer	Black-backed Water Tyrant
Fluvicola nengeta	Masked Water Tyrant
Pyrocephalus nanus	Brujo Flycatcher
Pyrocephalus rubinus	Vermilion Flycatcher
Muscipipra vetula	Shear-tailed Grey Tyrant
Gubernetes yetapa	Streamer-tailed Tyrant
Heteroxolmis dominicana	Black-and-white Monjita
Alectrurus tricolor	Cock-tailed Tyrant
Alectrurus risora	Strange-tailed Tyrant
Ochthornis littoralis	Drab Water Tyrant
Cnemotriccus fuscatus	Fuscous Flycatcher
Aphanotriccus capitalis	Tawny-chested Flycatcher
Aphanotriccus audax	Black-billed Flycatcher
Lathrotriccus griseipectus	Grey-breasted Flycatcher
Lathrotriccus euleri	Euler's Flycatcher
Xenotriccus callizonus	Belted Flycatcher
Xenotriccus mexicanus	Pileated Flycatcher
Sayornis saya	Say's Phoebe
Sayornis phoebe	Eastern Phoebe
Sayornis nigricans	Black Phoebe
Empidonax virescens	Acadian Flycatcher
Empidonax albigularis	White-throated Flycatcher
Empidonax alnorum	Alder Flycatcher
Empidonax traillii	Willow Flycatcher
Empidonax flaviventris	Yellow-bellied Flycatcher
Empidonax flavescens	Yellowish Flycatcher
Empidonax difficilis	Western Flycatcher
Empidonax hammondii	Hammond's Flycatcher
Empidonax oberholseri	American Dusky Flycatcher
Empidonax affinis	Pine Flycatcher
Empidonax minimus	Least Flycatcher
Empidonax wrightii	American Grey Flycatcher
Empidonax atriceps	Black-capped Flycatcher
Empidonax fulvifrons	Buff-breasted Flycatcher
Mitrephanes olivaceus	Olive Tufted Flycatcher
Mitrephanes phaeocercus	Northern Tufted Flycatcher
Contopus cooperi	Olive-sided Flycatcher
Contopus ochraceus	Ochraceous Pewee
Contopus pertinax	Greater Pewee
Contopus lugubris	Dark Pewee
Contopus fumigatus	Smoke-colored Pewee
Contopus pallidus	Jamaican Pewee
Contopus punensis	Tumbes Pewee
Contopus albogularis	White-throated Pewee
Contopus nigrescens	Blackish Pewee
Contopus cinereus	Southern Tropical Pewee
Contopus sordidulus	Western Wood Pewee
Contopus bogotensis	Northern Tropical Pewee
Contopus virens	Eastern Wood Pewee
Contopus caribaeus	Cuban Pewee
Contopus hispaniolensis	Hispaniolan Pewee
Contopus latirostris	Lesser Antillean Pewee
Satrapa icterophrys	Yellow-browed Tyrant
Syrtidicola fluviatilis	Little Ground Tyrant
Muscisaxicola maculirostris	Spot-billed Ground Tyrant
Muscisaxicola griseus	Taczanowski's Ground Tyrant
Muscisaxicola juninensis	Puna Ground Tyrant
Muscisaxicola cinereus	Cinereous Ground Tyrant
Muscisaxicola albifrons	White-fronted Ground Tyrant
Muscisaxicola flavinucha	Ochre-naped Ground Tyrant
Muscisaxicola rufivertex	Rufous-naped Ground Tyrant
Muscisaxicola maclovianus	Dark-faced Ground Tyrant
Muscisaxicola albilora	White-browed Ground Tyrant
Muscisaxicola alpinus	Paramo Ground Tyrant
Muscisaxicola capistratus	Cinnamon-bellied Ground Tyrant
Muscisaxicola frontalis	Black-fronted Ground Tyrant
Lessonia rufa	Austral Negrito
Lessonia oreas	Andean Negrito
Hymenops perspicillatus	Spectacled Tyrant
Knipolegus orenocensis	Riverside Tyrant
Knipolegus poecilurus	Rufous-tailed Tyrant
Knipolegus poecilocercus	Amazonian Black Tyrant
Knipolegus franciscanus	Sao Francisco Black Tyrant
Knipolegus lophotes	Crested Black Tyrant
Knipolegus nigerrimus	Velvety Black Tyrant
Knipolegus signatus	Jelski's Black Tyrant
Knipolegus cabanisi	Plumbeous Tyrant
Knipolegus cyanirostris	Blue-billed Black Tyrant
Knipolegus striaticeps	Cinereous Tyrant
Knipolegus aterrimus	White-winged Black Tyrant
Knipolegus hudsoni	Hudson's Black Tyrant
Cnemarchus erythropygius	Red-rumped Bush Tyrant
Cnemarchus rufipennis	Rufous-webbed Bush Tyrant
Xolmis velatus	White-rumped Monjita
Xolmis irupero	White Monjita
Pyrope pyrope	Fire-eyed Diucon
Nengetus cinereus	Grey Monjita
Neoxolmis coronatus	Black-crowned Monjita
Neoxolmis salinarum	Salinas Monjita
Neoxolmis rubetra	Rusty-backed Monjita
Neoxolmis rufiventris	Chocolate-vented Tyrant
Myiotheretes striaticollis	Streak-throated Bush Tyrant
Myiotheretes pernix	Santa Marta Bush Tyrant
Myiotheretes fumigatus	Smoky Bush Tyrant
Myiotheretes fuscorufus	Rufous-bellied Bush Tyrant
Agriornis montanus	Black-billed Shrike-Tyrant
Agriornis albicauda	White-tailed Shrike-Tyrant
Agriornis lividus	Great Shrike-Tyrant
Agriornis micropterus	Grey-bellied Shrike-Tyrant
Agriornis murinus	Lesser Shrike-Tyrant
Melanopareia torquata	Collared Crescentchest
Melanopareia maximiliani	Olive-crowned Crescentchest
Melanopareia maranonica	Maranon Crescentchest
Melanopareia elegans	Elegant Crescentchest
Pittasoma michleri	Black-crowned Antpitta
Pittasoma rufopileatum	Rufous-crowned Antpitta
Conopophaga melanogaster	Black-bellied Gnateater
Conopophaga melanops	Black-cheeked Gnateater
Conopophaga aurita	Chestnut-belted Gnateater
Conopophaga snethlageae	Black-breasted Gnateater
Conopophaga peruviana	Ash-throated Gnateater
Conopophaga cearae	Ceara Gnateater
Conopophaga roberti	Hooded Gnateater
Conopophaga lineata	Rufous Gnateater
Conopophaga castaneiceps	Chestnut-crowned Gnateater
Conopophaga ardesiaca	Slaty Gnateater
Myrmornis torquata	Wing-banded Antbird
Pygiptila stellaris	Spot-winged Antshrike
Thamnistes rufescens	Rufescent Antshrike
Thamnistes anabatinus	Russet Antshrike
Euchrepomis callinota	Rufous-rumped Antwren
Euchrepomis humeralis	Chestnut-shouldered Antwren
Euchrepomis sharpei	Yellow-rumped Antwren
Euchrepomis spodioptila	Ash-winged Antwren
Myrmorchilus strigilatus	Stripe-backed Antbird
Microrhopias quixensis	Dot-winged Antwren
Aprositornis disjuncta	Yapacana Antbird
Ammonastes pelzelni	Grey-bellied Antbird
Myrmophylax atrothorax	Black-throated Antbird
Neoctantes niger	Black Bushbird
Clytoctantes alixii	Recurve-billed Bushbird
Clytoctantes atrogularis	Rondonia Bushbird
Epinecrophylla fulviventris	Checker-throated Stipplethroat
Epinecrophylla gutturalis	Brown-bellied Stipplethroat
Epinecrophylla leucophthalma	White-eyed Stipplethroat
Epinecrophylla haematonota	Rufous-backed Stipplethroat
Epinecrophylla amazonica	Rio Madeira Stipplethroat
Epinecrophylla spodionota	Foothill Stipplethroat
Epinecrophylla ornata	Ornate Stipplethroat
Epinecrophylla erythrura	Rufous-tailed Stipplethroat
Terenura maculata	Streak-capped Antwren
Terenura sicki	Orange-bellied Antwren
Myrmochanes hemileucus	Black-and-white Antbird
Myrmotherula brachyura	Pygmy Antwren
Myrmotherula ignota	Moustached Antwren
Myrmotherula ambigua	Yellow-throated Antwren
Myrmotherula sclateri	Sclater's Antwren
Myrmotherula surinamensis	Guianan Streaked Antwren
Myrmotherula multostriata	Amazonian Streaked Antwren
Myrmotherula pacifica	Pacific Antwren
Myrmotherula cherriei	Cherrie's Antwren
Myrmotherula klagesi	Klages's Antwren
Myrmotherula longicauda	Stripe-chested Antwren
Myrmotherula axillaris	White-flanked Antwren
Myrmotherula schisticolor	Slaty Antwren
Myrmotherula sunensis	Rio Suno Antwren
Myrmotherula minor	Salvadori's Antwren
Myrmotherula longipennis	Long-winged Antwren
Myrmotherula urosticta	Band-tailed Antwren
Myrmotherula iheringi	Ihering's Antwren
Myrmotherula fluminensis	Rio de Janeiro Antwren
Myrmotherula grisea	Yungas Antwren
Myrmotherula unicolor	Unicolored Antwren
Myrmotherula snowi	Alagoas Antwren
Myrmotherula behni	Plain-winged Antwren
Myrmotherula menetriesii	Grey Antwren
Myrmotherula assimilis	Leaden Antwren
Formicivora iheringi	Narrow-billed Antwren
Formicivora erythronotos	Black-hooded Antwren
Formicivora intermedia	Northern White-fringed Antwren
Formicivora grisea	Southern White-fringed Antwren
Formicivora serrana	Serra Antwren
Formicivora melanogaster	Black-bellied Antwren
Formicivora rufa	Rusty-backed Antwren
Formicivora grantsaui	Sincora Antwren
Formicivora acutirostris	Marsh Antwren
Isleria guttata	Rufous-bellied Antwren
Isleria hauxwelli	Plain-throated Antwren
Xenornis setifrons	Speckled Antshrike
Thamnomanes ardesiacus	Dusky-throated Antshrike
Thamnomanes saturninus	Saturnine Antshrike
Thamnomanes caesius	Cinereous Antshrike
Thamnomanes schistogynus	Bluish-slate Antshrike
Megastictus margaritatus	Pearly Antshrike
Rhopias gularis	Star-throated Antwren
Dichrozona cincta	Banded Antbird
Cymbilaimus sanctaemariae	Bamboo Antshrike
Cymbilaimus lineatus	Fasciated Antshrike
Taraba major	Great Antshrike
Hypoedaleus guttatus	Spot-backed Antshrike
Batara cinerea	Giant Antshrike
Mackenziaena severa	Tufted Antshrike
Mackenziaena leachii	Large-tailed Antshrike
Frederickena viridis	Black-throated Antshrike
Frederickena unduliger	Undulated Antshrike
Frederickena fulva	Fulvous Antshrike
Sakesphoroides cristatus	Silvery-cheeked Antshrike
Biatas nigropectus	White-bearded Antshrike
Radinopsyche sellowi	Caatinga Antwren
Dysithamnus stictothorax	Spot-breasted Antvireo
Dysithamnus mentalis	Plain Antvireo
Dysithamnus striaticeps	Streak-crowned Antvireo
Dysithamnus puncticeps	Spot-crowned Antvireo
Dysithamnus xanthopterus	Rufous-backed Antvireo
Dysithamnus occidentalis	Bicolored Antvireo
Dysithamnus plumbeus	Plumbeous Antvireo
Dysithamnus leucostictus	White-streaked Antvireo
Herpsilochmus pileatus	Bahia Antwren
Herpsilochmus atricapillus	Black-capped Antwren
Herpsilochmus praedictus	Predicted Antwren
Herpsilochmus stotzi	Aripuana Antwren
Herpsilochmus motacilloides	Creamy-bellied Antwren
Herpsilochmus parkeri	Ash-throated Antwren
Herpsilochmus sticturus	Spot-tailed Antwren
Herpsilochmus dugandi	Dugand's Antwren
Herpsilochmus stictocephalus	Todd's Antwren
Herpsilochmus gentryi	Ancient Antwren
Herpsilochmus dorsimaculatus	Spot-backed Antwren
Herpsilochmus roraimae	Roraiman Antwren
Herpsilochmus pectoralis	Pectoral Antwren
Herpsilochmus longirostris	Large-billed Antwren
Herpsilochmus axillaris	Yellow-breasted Antwren
Herpsilochmus frater	Rusty-winged Antwren
Herpsilochmus rufimarginatus	Rufous-margined Antwren
Sakesphorus canadensis	Black-crested Antshrike
Sakesphorus pulchellus	Streak-fronted Antshrike
Sakesphorus luctuosus	Glossy Antshrike
Thamnophilus doliatus	Barred Antshrike
Thamnophilus ruficapillus	Rufous-capped Antshrike
Thamnophilus torquatus	Rufous-winged Antshrike
Thamnophilus zarumae	Chapman's Antshrike
Thamnophilus multistriatus	Bar-crested Antshrike
Thamnophilus tenuepunctatus	Lined Antshrike
Thamnophilus palliatus	Chestnut-backed Antshrike
Thamnophilus bernardi	Collared Antshrike
Thamnophilus shumbae	Maranon Antshrike
Thamnophilus atrinucha	Black-crowned Antshrike
Thamnophilus bridgesi	Black-hooded Antshrike
Thamnophilus schistaceus	Plain-winged Antshrike
Thamnophilus murinus	Mouse-colored Antshrike
Thamnophilus nigriceps	Black Antshrike
Thamnophilus praecox	Cocha Antshrike
Thamnophilus cryptoleucus	Castelnau's Antshrike
Thamnophilus nigrocinereus	Blackish-grey Antshrike
Thamnophilus punctatus	Northern Slaty Antshrike
Thamnophilus stictocephalus	Natterer's Slaty Antshrike
Thamnophilus sticturus	Bolivian Slaty Antshrike
Thamnophilus pelzelni	Planalto Slaty Antshrike
Thamnophilus ambiguus	Sooretama Slaty Antshrike
Thamnophilus caerulescens	Variable Antshrike
Thamnophilus unicolor	Uniform Antshrike
Thamnophilus aethiops	White-shouldered Antshrike
Thamnophilus aroyae	Upland Antshrike
Thamnophilus melanonotus	Black-backed Antshrike
Thamnophilus melanothorax	Band-tailed Antshrike
Thamnophilus amazonicus	Amazonian Antshrike
Thamnophilus insignis	Streak-backed Antshrike
Thamnophilus divisorius	Acre Antshrike
Phaenostictus mcleannani	Ocellated Antbird
Pithys castaneus	White-masked Antbird
Pithys albifrons	White-plumed Antbird
Willisornis vidua	Xingu Scale-backed Antbird
Willisornis poecilinotus	Common Scale-backed Antbird
Phlegopsis nigromaculata	Black-spotted Bare-eye
Phlegopsis erythroptera	Reddish-winged Bare-eye
Phlegopsis borbae	Pale-faced Bare-eye
Oneillornis lunulatus	Lunulated Antbird
Oneillornis salvini	White-throated Antbird
Gymnopithys bicolor	Bicolored Antbird
Gymnopithys leucaspis	White-cheeked Antbird
Gymnopithys rufigula	Rufous-throated Antbird
Rhegmatorhina gymnops	Bare-eyed Antbird
Rhegmatorhina berlepschi	Harlequin Antbird
Rhegmatorhina hoffmannsi	White-breasted Antbird
Rhegmatorhina cristata	Chestnut-crested Antbird
Rhegmatorhina melanosticta	Hairy-crested Antbird
Cercomacra manu	Manu Antbird
Cercomacra cinerascens	Grey Antbird
Cercomacra brasiliana	Rio de Janeiro Antbird
Cercomacra melanaria	Mato Grosso Antbird
Cercomacra ferdinandi	Bananal Antbird
Cercomacra nigricans	Jet Antbird
Cercomacra carbonaria	Rio Branco Antbird
Cercomacroides laeta	Willis's Antbird
Cercomacroides parkeri	Parker's Antbird
Cercomacroides tyrannina	Dusky Antbird
Cercomacroides serva	Black Antbird
Cercomacroides nigrescens	Blackish Antbird
Cercomacroides fuscicauda	Riparian Antbird
Sciaphylax hemimelaena	Southern Chestnut-tailed Antbird
Sciaphylax castanea	Northern Chestnut-tailed Antbird
Hypocnemis cantator	Guianan Warbling Antbird
Hypocnemis flavescens	Imeri Warbling Antbird
Hypocnemis peruviana	Peruvian Warbling Antbird
Hypocnemis subflava	Yellow-breasted Warbling Antbird
Hypocnemis ochrogyna	Rondonia Warbling Antbird
Hypocnemis striata	Spix's Warbling Antbird
Hypocnemis rondoni	Manicore Warbling Antbird
Hypocnemis hypoxantha	Yellow-browed Antbird
Drymophila ferruginea	Ferruginous Antbird
Drymophila rubricollis	Bertoni's Antbird
Drymophila genei	Rufous-tailed Antbird
Drymophila ochropyga	Ochre-rumped Antbird
Drymophila malura	Dusky-tailed Antbird
Drymophila squamata	Scaled Antbird
Drymophila devillei	Striated Antbird
Drymophila caudata	East Andean Antbird
Drymophila klagesi	Klages's Antbird
Drymophila hellmayri	Santa Marta Antbird
Drymophila striaticeps	Streak-headed Antbird
Poliocrania exsul	Chestnut-backed Antbird
Ampelornis griseiceps	Grey-headed Antbird
Sipia laemosticta	Dull-mantled Antbird
Sipia palliata	Magdalena Antbird
Sipia nigricauda	Esmeraldas Antbird
Sipia berlepschi	Stub-tailed Antbird
Myrmoderus ferrugineus	Ferruginous-backed Antbird
Myrmoderus eowilsoni	Cordillera Azul Antbird
Myrmoderus ruficauda	Scalloped Antbird
Myrmoderus loricatus	White-bibbed Antbird
Myrmoderus squamosus	Squamate Antbird
Hypocnemoides maculicauda	Band-tailed Antbird
Hypocnemoides melanopogon	Black-chinned Antbird
Hylophylax naevioides	Spotted Antbird
Hylophylax naevius	Spot-backed Antbird
Hylophylax punctulatus	Dot-backed Antbird
Sclateria naevia	Silvered Antbird
Myrmelastes schistaceus	Slate-colored Antbird
Myrmelastes saturatus	Roraiman Antbird
Myrmelastes hyperythrus	Plumbeous Antbird
Myrmelastes leucostigma	Spot-winged Antbird
Myrmelastes humaythae	Humaita Antbird
Myrmelastes brunneiceps	Brownish-headed Antbird
Myrmelastes rufifacies	Rufous-faced Antbird
Myrmelastes caurensis	Caura Antbird
Myrmeciza longipes	White-bellied Antbird
Rhopornis ardesiacus	Slender Antbird
Myrmoborus leucophrys	White-browed Antbird
Myrmoborus lugubris	Ash-breasted Antbird
Myrmoborus myotherinus	Black-faced Antbird
Myrmoborus melanurus	Black-tailed Antbird
Myrmoborus lophotes	White-lined Antbird
Pyriglena maura	Western Fire-eye
Pyriglena similis	Tapajos Fire-eye
Pyriglena leuconota	East Amazonian Fire-eye
Pyriglena atra	Fringe-backed Fire-eye
Pyriglena leucoptera	White-shouldered Fire-eye
Gymnocichla nudiceps	Bare-crowned Antbird
Akletos melanoceps	White-shouldered Antbird
Akletos goeldii	Goeldi's Antbird
Percnostola arenarum	Allpahuayo Antbird
Percnostola rufifrons	Black-headed Antbird
Hafferia fortis	Sooty Antbird
Hafferia zeledoni	Zeledon's Antbird
Hafferia immaculata	Blue-lored Antbird
Cryptopezus nattereri	Speckle-breasted Antpitta
Grallaricula flavirostris	Ochre-breasted Antpitta
Grallaricula loricata	Scallop-breasted Antpitta
Grallaricula cucullata	Hooded Antpitta
Grallaricula peruviana	Peruvian Antpitta
Grallaricula ochraceifrons	Ochre-fronted Antpitta
Grallaricula ferrugineipectus	Rusty-breasted Antpitta
Grallaricula leymebambae	Rufous-breasted Antpitta
Grallaricula nana	Slaty-crowned Antpitta
Grallaricula cumanensis	Sucre Antpitta
Grallaricula lineifrons	Crescent-faced Antpitta
Hylopezus perspicillatus	Streak-chested Antpitta
Hylopezus macularius	Spotted Antpitta
Hylopezus paraensis	Snethlage's Antpitta
Hylopezus whittakeri	Alta Floresta Antpitta
Hylopezus auricularis	Masked Antpitta
Hylopezus ochroleucus	White-browed Antpitta
Myrmothera fulviventris	White-lored Antpitta
Myrmothera berlepschi	Amazonian Antpitta
Myrmothera dives	Thicket Antpitta
Myrmothera campanisona	Thrush-like Antpitta
Myrmothera subcanescens	Tapajos Antpitta
Myrmothera simplex	Tepui Antpitta
Grallaria squamigera	Undulated Antpitta
Grallaria gigantea	Giant Antpitta
Grallaria excelsa	Great Antpitta
Grallaria varia	Variegated Antpitta
Grallaria alleni	Moustached Antpitta
Grallaria guatimalensis	Scaled Antpitta
Grallaria chthonia	Tachira Antpitta
Grallaria haplonota	Plain-backed Antpitta
Grallaria dignissima	Ochre-striped Antpitta
Grallaria eludens	Elusive Antpitta
Grallaria ruficapilla	Chestnut-crowned Antpitta
Grallaria watkinsi	Watkins's Antpitta
Grallaria bangsi	Santa Marta Antpitta
Grallaria kaestneri	Cundinamarca Antpitta
Grallaria andicolus	Stripe-headed Antpitta
Grallaria griseonucha	Grey-naped Antpitta
Grallaria ridgelyi	Jocotoco Antpitta
Grallaria nuchalis	Chestnut-naped Antpitta
Grallaria carrikeri	Pale-billed Antpitta
Grallaria albigula	White-throated Antpitta
Grallaria flavotincta	Yellow-breasted Antpitta
Grallaria hypoleuca	White-bellied Antpitta
Grallaria przewalskii	Rusty-tinged Antpitta
Grallaria capitalis	Bay Antpitta
Grallaria erythroleuca	Red-and-white Antpitta
Grallaria spatiator	Sierra Nevada Antpitta
Grallaria saltuensis	Perija Antpitta
Grallaria rufocinerea	Bicolored Antpitta
Grallaria rufula	Muisca Antpitta
Grallaria centralis	Oxapampa Antpitta
Grallaria ayacuchensis	Ayacucho Antpitta
Grallaria occabambae	Urubamba Antpitta
Grallaria sinaensis	Puno Antpitta
Grallaria cochabambae	Bolivian Antpitta
Grallaria alvarezi	Chami Antpitta
Grallaria saturata	Equatorial Antpitta
Grallaria cajamarcae	Cajamarca Antpitta
Grallaria blakei	Chestnut Antpitta
Grallaria gravesi	Chachapoyas Antpitta
Grallaria oneilli	Panao Antpitta
Grallaria obscura	Junin Antpitta
Grallaria alticola	Boyaca Antpitta
Grallaria quitensis	Tawny Antpitta
Grallaria atuensis	Atuen Antpitta
Grallaria urraoensis	Urrao Antpitta
Grallaria milleri	Brown-banded Antpitta
Grallaria erythrotis	Rufous-faced Antpitta
Scelorchilus albicollis	White-throated Tapaculo
Scelorchilus rubecula	Chucao Tapaculo
Pteroptochos castaneus	Chestnut-throated Huet-huet
Pteroptochos tarnii	Black-throated Huet-huet
Pteroptochos megapodius	Moustached Turca
Psilorhamphus guttatus	Spotted Bamboowren
Liosceles thoracicus	Rusty-belted Tapaculo
Acropternis orthonyx	Ocellated Tapaculo
Teledromas fuscus	Sandy Gallito
Rhinocrypta lanceolata	Crested Gallito
Merulaxis ater	Slaty Bristlefront
Merulaxis stresemanni	Stresemann's Bristlefront
Eleoscytalopus indigoticus	White-breasted Tapaculo
Eleoscytalopus psychopompus	Bahia Tapaculo
Myornis senilis	Ash-colored Tapaculo
Eugralla paradoxa	Ochre-flanked Tapaculo
Scytalopus iraiensis	Marsh Tapaculo
Scytalopus diamantinensis	Diamantina Tapaculo
Scytalopus novacapitalis	Brasilia Tapaculo
Scytalopus petrophilus	Rock Tapaculo
Scytalopus pachecoi	Planalto Tapaculo
Scytalopus gonzagai	Boa Nova Tapaculo
Scytalopus speluncae	Mouse-colored Tapaculo
Scytalopus fuscus	Dusky Tapaculo
Scytalopus magellanicus	Magellanic Tapaculo
Scytalopus affinis	Ancash Tapaculo
Scytalopus krabbei	White-winged Tapaculo
Scytalopus androstictus	Loja Tapaculo
Scytalopus opacus	Paramo Tapaculo
Scytalopus canus	Paramillo Tapaculo
Scytalopus superciliaris	White-browed Tapaculo
Scytalopus zimmeri	Zimmer's Tapaculo
Scytalopus simonsi	Puna Tapaculo
Scytalopus schulenbergi	Diademed Tapaculo
Scytalopus urubambae	Vilcabamba Tapaculo
Scytalopus whitneyi	Ampay Tapaculo
Scytalopus frankeae	Jalca Tapaculo
Scytalopus altirostris	Neblina Tapaculo
Scytalopus parvirostris	Trilling Tapaculo
Scytalopus bolivianus	Bolivian Tapaculo
Scytalopus atratus	White-crowned Tapaculo
Scytalopus sanctaemartae	Santa Marta Tapaculo
Scytalopus micropterus	Long-tailed Tapaculo
Scytalopus femoralis	Rufous-vented Tapaculo
Scytalopus intermedius	Utcubamba Tapaculo
Scytalopus macropus	Large-footed Tapaculo
Scytalopus gettyae	Junin Tapaculo
Scytalopus unicolor	Unicolored Tapaculo
Scytalopus acutirostris	Tschudi's Tapaculo
Scytalopus latrans	Blackish Tapaculo
Scytalopus argentifrons	Silvery-fronted Tapaculo
Scytalopus vicinior	Narino Tapaculo
Scytalopus panamensis	Tacarcuna Tapaculo
Scytalopus chocoensis	Choco Tapaculo
Scytalopus rodriguezi	Magdalena Tapaculo
Scytalopus stilesi	Stiles's Tapaculo
Scytalopus alvarezlopezi	Tatama Tapaculo
Scytalopus robbinsi	El Oro Tapaculo
Scytalopus caracae	Caracas Tapaculo
Scytalopus griseicollis	Pale-bellied Tapaculo
Scytalopus latebricola	Brown-rumped Tapaculo
Scytalopus perijanus	Perija Tapaculo
Scytalopus meridanus	Merida Tapaculo
Scytalopus parkeri	Chusquea Tapaculo
Scytalopus spillmanni	Spillmann's Tapaculo
Chamaeza campanisona	Short-tailed Antthrush
Chamaeza nobilis	Striated Antthrush
Chamaeza meruloides	Cryptic Antthrush
Chamaeza turdina	Schwartz's Antthrush
Chamaeza ruficauda	Rufous-tailed Antthrush
Chamaeza mollissima	Barred Antthrush
Formicarius colma	Rufous-capped Antthrush
Formicarius moniliger	Mayan Antthrush
Formicarius analis	Black-faced Antthrush
Formicarius rufifrons	Rufous-fronted Antthrush
Formicarius nigricapillus	Black-headed Antthrush
Formicarius rufipectus	Rufous-breasted Antthrush
Sclerurus mexicanus	Tawny-throated Leaftosser
Sclerurus obscurior	Dusky Leaftosser
Sclerurus rufigularis	Short-billed Leaftosser
Sclerurus guatemalensis	Scaly-throated Leaftosser
Sclerurus caudacutus	Black-tailed Leaftosser
Sclerurus albigularis	Grey-throated Leaftosser
Sclerurus scansor	Rufous-breasted Leaftosser
Geositta peruviana	Coastal Miner
Geositta tenuirostris	Slender-billed Miner
Geositta cunicularia	Common Miner
Geositta punensis	Puna Miner
Geositta poeciloptera	Campo Miner
Geositta crassirostris	Thick-billed Miner
Geositta rufipennis	Rufous-banded Miner
Geositta maritima	Greyish Miner
Geositta antarctica	Short-billed Miner
