乌林鸮	Strix nebulosa
Bornean Peacock-Pheasant	Polyplectron schleiermacheri
Lesser Florican	Sypheotides indicus
Gorgeted Puffleg	Eriocnemis isabellae
Taita Falcon	Falco fasciinucha
Camiguin Hanging Parrot	Loriculus camiguinensis
Moluccan King Parrot	Alisterus amboinensis
Yellow Cardinal	Gubernatrix cristata
Great-billed Parrot	Tanygnathus megalorynchos
Chattering Lory	Lorius garrulus
Violet-necked Lory	Eos squamata
Collared Laughingthrush	Trochalopteron yersini
Thick-billed Parrot	Rhynchopsitta pachyrhyncha
Great Indian Bustard	Ardeotis nigriceps
Sun Parakeet	Aratinga solstitialis
White-winged Flufftail	Sarothrura ayresi
Green Avadavat	Amandava formosa
Blue-backed Parrot	Tanygnathus everetti
Spotted Owl	Strix occidentalis
Yellow-faced Siskin	Spinus yarrellii
Rudd's Lark	Heteromirafra ruddi
Sumatran Treepie	Dendrocitta occipitalis
Maui Parrotbill	Pseudonestor xanthophrys
Golden-winged Laughingthrush	Trochalopteron ngoclinhense
Brown-cheeked Bulbul	Alophoixus bres
Rinjani Scops Owl	Otus jolandae
Botha's Lark	Spizocorys fringillaris
Chestnut-backed Thrush	Geokichla dohertyi
Walden's Hornbill	Rhabdotorrhinus waldeni
Puerto Rican Amazon	Amazona vittata
Chilean Woodstar	Eulidia yarrellii
Pale-bellied Myna	Acridotheres cinereus
Biak Lorikeet	Trichoglossus rosenbergii
Yellow-breasted Racket-tail	Prioniturus flavicans
Sangihe Golden Bulbul	Hypsipetes platenae
Cerulean Flycatcher	Eutrichomyias rowleyi
Golden-mantled Racket-tail	Prioniturus platurus
Slaty-backed Thrush	Geokichla schistacea
Blue-streaked Lory	Eos reticulata
Red-fronted Macaw	Ara rubrogenys
Red-vented Cockatoo	Cacatua haematuropygia
毛腿渔鸮	Ketupa blakistoni
Isabela Oriole	Oriolus isabellae
Black-winged Myna	Acridotheres melanopterus
Buru Racket-tail	Prioniturus mada
Buru Thrush	Geokichla dumasi
Grey-crowned Crocias	Laniellus langbianis
Raja Ampat Pitohui	Pitohui cerviniventris
Gurney's Pitta	Hydrornis gurneyi
Sunda Laughingthrush	Garrulax palliatus
Bornean Green Magpie	Cissa jefferyi
Javan Whistling Thrush	Myophonus glaucinus
Yellow-throated Hanging Parrot	Loriculus pusillus
Javan Owlet	Glaucidium castanopterum
Blue-eared Lory	Eos semilarvata
Seram Thrush	Geokichla joiceyi
Salmon-crested Cockatoo	Cacatua moluccensis
Purple-naped Lory	Lorius domicella
Ouvea Parakeet	Eunymphicus uvaeensis
Wallace's Hanging Parrot	Loriculus flosculus
Leaf Lorikeet	Trichoglossus weberi
Guam Rail	Gallirallus owstoni
Javan Banded Pitta	Hydrornis guajanus
Dulit Frogmouth	Batrachostomus harterti
Rufous-fronted Laughingthrush	Garrulax rufifrons
Sangkar White-eye	Zosterops melanurus
Spot-necked Bulbul	Pycnonotus tympanistrigus
Puaiohi	Myadestes palmeri
Aceh Bulbul	Pycnonotus snouckaerti
Blue-throated Macaw	Ara glaucogularis
靛冠噪鹛	Pterorhinus courtoisi
Lesser Prairie Chicken	Tympanuchus pallidicinctus
Bali Myna	Leucopsar rothschildi
Mees's White-eye	Heleia javanica
Gunnison Grouse	Centrocercus minimus
Blue-fronted Lorikeet	Charmosynopsis toxopei
Red-and-blue Lory	Eos histrio
Pied Shrike-babbler	Pteruthius flaviscapis
Trilling Shrike-babbler	Pteruthius aenobarbus
Orange-spotted Bulbul	Pycnonotus bimaculatus
Spotted Crocias	Laniellus albonotatus
White-flanked Sunbird	Aethopyga eximia
Sunda Coucal	Centropus nigrorufus
Javan White-eye	Zosterops flavus
Sumatran Leafbird	Chloropsis media
Sumatran Drongo	Dicrurus sumatranus
Javan Scops Owl	Otus angelinae
Javan Cochoa	Cochoa azurea
Sumatran Cochoa	Cochoa beccarii
Sumatran Laughingthrush	Garrulax bicolor
Blue-masked Leafbird	Chloropsis venusta
白点噪鹛	Ianthocincla bieti
Western Crowned Pigeon	Goura cristata
Orange-breasted Laughingthrush	Garrulax annamensis
Flores Scops Owl	Otus alfredi
Enggano Thrush	Geokichla leucolaema
Wetar Ground Dove	Pampusana hoedtii
Akohekohe	Palmeria dolei
Javan Green Magpie	Cissa thalassina
Spix's Macaw	Cyanopsitta spixii
灰胸薮鹛	Liocichla omeiensis
Edwards's Pheasant	Lophura edwardsi
Blue-winged Racket-tail	Prioniturus verticalis
Javan Pied Myna	Gracupica jalla
Red Lory	Eos bornea
Red-backed Thrush	Geokichla erythronota
Grosbeak Starling	Scissirostrum dubium
Guam Kingfisher	Todiramphus cinnamominus
Hawaiian Crow	Corvus hawaiiensis
Javan Blue Flycatcher	Cyornis banyumas
Sunset Lorikeet	Trichoglossus forsteni		
